" Movie Title"," Gross"
"Harry Potter and the Deathly Hallows (Part Two)","$549,712"
"Pirates of the Caribbean: On Stranger Tides (3D)","$377,174"
"Klovn: The Movie","$364,835"
"The Hangover Part II","$360,791"
"Transformers 3","$289,370"
"Bridesmaids","$274,173"
"The Smurfs","$265,198"
"Thor","$261,866"
"Kung Fu Panda 2","$259,971"
"Algjor Sveppi 3","$258,429"
"Okkar Eigin Oslo (Our Own Oslo)","$255,663"
"Mission: Impossible - Ghost Protocol","$233,740"
"Sherlock Holmes: A Game of Shadows","$216,560"
"The King's Speech","$207,995"
"Captain America: The First Avenger","$203,750"
"Johnny English Reborn","$196,557"
"Fast Five","$196,400"
"Horrible Bosses","$194,065"
"Legends of Valhalla: Thor","$186,971"
"Cars 2","$174,681"
"City State","$162,562"
"Super 8","$160,898"
"Tangled","$160,873"
"Black Swan","$143,628"
"Drive (2011)","$140,992"
"Rio","$132,358"
"Bad Teacher","$132,347"
"The Twilight Saga: Breaking Dawn Part 1","$130,944"
"X-Men: First Class","$130,333"
"Hop","$128,272"
"Rango","$126,630"
"New Year's Eve","$122,048"
"Just Go With It","$121,838"
"Friends with Benefits","$118,258"
"Unknown","$111,161"
"Crazy, Stupid, Love.","$110,963"
"Cowboys & Aliens","$104,745"
"True Grit","$103,394"
"Rise of the Planet of the Apes","$101,108"
"Limitless","$101,068"
"The Green Hornet","$100,564"
"The Tourist","$100,431"
"The Lion King (in 3D)","$97,639"
"Puss in Boots","$96,942"
"The Change-Up","$94,800"
"Alvin and the Chipmunks: Chipwrecked","$90,567"
"Gulliver's Travels","$86,616"
"A Very Harold & Kumar 3D Christmas","$85,735"
"Mars Needs Moms","$85,049"
"Immortals","$84,246"
"Justin Bieber: Never Say Never","$83,950"
"Eldfjall (Volcano)","$82,872"
"Hall Pass","$82,682"
"Battle: Los Angeles","$79,754"
"The Help","$77,862"
"Yogi Bear","$76,503"
"Green Lantern","$75,103"
"Rokland (Stormland)","$74,709"
"Kurteist fólk (Polite People)","$69,745"
"The Three Musketeers (2011)","$65,700"
"Tower Heist","$64,453"
"Mr. Popper's Penguins","$63,104"
"Spy Kids: All the Time in the World","$61,889"
"Sanctum (3D)","$61,740"
"Paul","$60,007"
"Your Highness","$59,868"
"Real Steel","$57,954"
"Killer Elite","$55,207"
"The Girl with the Dragon Tattoo (2011)","$54,165"
"Footloose (2011)","$53,412"
"Hereafter","$53,065"
"I Am Number Four","$52,494"
"Midnight in Paris","$51,753"
"The Inbetweeners Movie","$50,962"
"No Strings Attached","$50,520"
"Zookeeper","$49,647"
"Hodejegerne (Headhunters)","$49,602"
"Big Mommas: Like Father, Like Son","$49,300"
"Final Destination 5","$48,651"
"30 Minutes or Less","$48,537"
"Source Code","$48,377"
"Arthur Christmas","$47,477"
"Arthur (2011)","$47,470"
"Alpha and Omega","$47,031"
"In Time","$45,675"
"Happy Feet Two","$43,567"
"Sucker Punch","$43,030"
"Something Borrowed","$41,275"
"Hanna","$40,949"
"I Don't Know How She Does It","$40,214"
"The Adventures of Tintin","$39,892"
"Colombiana","$38,764"
"Contagion","$38,442"
"What's Your Number?","$38,123"
"Burlesque","$38,100"
"The Dilemma","$36,066"
"Scream 4","$34,174"
"The Lincoln Lawyer","$33,698"
"Shark Night 3D","$33,483"
"The Fighter","$32,699"
"Larry Crowne","$32,455"
"The Mechanic","$31,579"
"Conan the Barbarian (2011)","$30,911"
"Jack and Jill","$30,679"
"One Day","$30,313"
"Abduction","$29,891"
"The Ides of March","$28,802"
"Winnie the Pooh","$28,743"
"You Again","$27,716"
"Priest","$26,426"
"Fright Night (2011)","$25,591"
"The Rite","$24,764"
"Hævnen (In a Better World)","$24,370"
"Gnomeo and Juliet","$24,336"
"Water for Elephants","$23,716"
"Konferenz der Tiere (Animals United)","$23,487"
"The Thing (2011)","$23,381"
"Red Riding Hood","$22,900"
"The Adjustment Bureau","$19,545"
"SeaFood","$18,873"
"Warrior","$18,265"
"Hoodwinked 2","$17,963"
"Biutiful","$17,917"
"How Do You Know","$16,634"
"Blitz","$16,163"
"The Roommate","$16,129"
"Space Chimps 2: Zartog Strikes Back","$15,674"
"Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2)","$14,933"
"127 Hours","$14,533"
"The Way Back","$14,479"
"Our Idiot Brother","$14,204"
"Chalet Girl","$12,703"
"Devil","$12,424"
"Moneyball","$12,160"
"Moomins and the Comet Chase","$11,889"
"Beastly","$11,503"
"Saw 3D","$11,477"
"Á annan veg (Either Way)","$11,113"
"The Tree of Life","$11,047"
"Chasseurs de dragons (Dragon Hunters)","$10,441"
"Seeking Justice","$9,838"
"Trespass (2011)","$9,808"
"The Devil's Double","$9,317"
"London Boulevard","$8,483"
"A Good Old Fashioned Orgy","$8,438"
"The Rum Diary","$8,358"
"Svinalängorna (Beyond)","$7,880"
