" Movie Title"," Gross"
"Welcome (2007)","$29,170,783"
"Om Shanti Om","$26,919,459"
"Guru","$20,833,806"
"Taare Zameen Par","$19,779,215"
"Chak DE! India","$19,133,825"
"Bhool Bhulaiyaa","$16,471,448"
"Spider-Man 3","$16,402,484"
"Saawariya","$15,982,236"
"Ta Ra Rum Pum","$12,644,749"
"Partner","$12,631,874"
"Namastey London","$12,108,989"
"Heyy Babyy","$10,794,512"
"Dhamaal","$10,393,150"
"Jhoom Barabar Jhoom","$9,721,899"
"Jab We Met","$9,088,584"
"Salaam-E-Ishq","$8,965,004"
"Shootout at Lokhandwala","$8,669,959"
"Cheeni Kum","$7,614,202"
"Cash (2007)","$7,235,982"
"Laga Chunari Mein Daag - Journey of a Woman","$7,121,041"
"Apne","$6,780,279"
"Eklavya - The Royal Guard","$6,556,025"
"Dhan Dhana Dhana Goal","$6,496,153"
"Life in a... METRO","$5,808,417"
"Harry Potter and the Order of the Phoenix","$5,732,191"
"Pirates of the Caribbean: At World's End","$5,389,149"
"Aaja Nachle","$5,256,190"
"Aap Kaa Surroor: The Moviee - The Real Luv Story","$5,030,120"
"Naqaab: Disguised Intentions","$4,621,640"
"Honeymoon Travels Pvt. Ltd.","$4,598,566"
"Fool and Final","$3,955,328"
"Ghost Rider","$3,908,396"
"Bheja Fry","$3,773,555"
"Live Free or Die Hard","$3,737,068"
"Awarapan","$3,652,254"
"Dhol","$3,626,209"
"Dus Kahaniyaan","$3,100,861"
"Transformers","$3,011,203"
"Traffic Signal","$2,723,691"
"300","$2,582,794"
"Good Boy, Bad Boy","$2,566,887"
"Nishabd","$2,489,661"
"I Am Legend","$2,232,034"
"Shakalaka Boom Boom","$2,196,556"
"Fantastic Four: Rise of the Silver Surfer","$2,059,601"
"Mr. Bean's Holiday","$2,039,755"
"Ram Gopal Varma Ki Aag","$1,859,380"
"Hat Trick","$1,820,333"
"The Namesake","$1,676,293"
"Black Friday","$1,575,897"
"Beowulf","$1,540,779"
"Gandhi My Father","$1,493,337"
"Risk (2007)","$1,416,813"
"Khoya Khoya Chand","$1,296,971"
"Buddha Mar Gaya","$1,244,871"
"The Train","$1,225,134"
"Big Brother (2007)","$1,216,531"
"Ocean's Thirteen","$1,209,886"
"Kya Love Story Hai","$1,203,653"
"Just Married (2007)","$1,197,893"
"The Bourne Ultimatum","$1,172,725"
"Johnny Gaddar","$1,109,943"
"Provoked: A True Story","$1,056,906"
"Shrek the Third","$1,036,518"
"Resident Evil: Extinction","$978,940"
"Nehlle Pe Dehlla","$978,077"
"Rush Hour 3","$924,718"
"Red (2007)","$895,066"
"Bombay to Goa (2007)","$886,685"
"Eragon","$847,448"
"Dil Dosti Etc","$774,219"
"No Smoking...!","$758,215"
"Return of Hanuman","$742,290"
"Water","$704,501"
"Ek Chalis Ki Last Local","$698,960"
"Darling (2007/India)","$683,241"
"The Pursuit of Happyness","$665,638"
"Kaafila","$638,026"
"Chain Kulii Ki Main Kulii","$547,859"
"Ratatouille","$531,224"
"Life Mein Kabhie Kabhiee","$504,875"
"Apocalypto","$491,571"
"Perfect Stranger","$451,854"
"My Friend Ganesha","$449,473"
"Naya Daur (1957) (Re)","$441,157"
"Pathfinder: Legend of the Ghost Warrior","$387,536"
"The Marine","$384,422"
"Primeval","$369,488"
"Mumbai Salsa","$364,476"
"The Holiday","$329,619"
"Go (2007)","$315,783"
"Friendship","$312,021"
"MP3: Mera Pehla Pehla Pyar","$295,446"
"Rocky Balboa","$295,408"
"Parzania","$279,872"
"The Simpsons Movie","$275,649"
"Marigold","$273,646"
"Bal Ganesh","$263,203"
"Delhii Heights","$236,928"
"Chatri Chor (The Blue Umbrella)","$228,230"
"Raqeeb","$227,536"
"Speed (2007)","$223,083"
"Gwoemul (The Host)","$208,000"
"1971","$207,755"
"Sarhad Paar","$205,668"
"Victoria No. 203","$201,216"
"The Last King of Scotland","$198,612"
"Bee Movie","$187,218"
"Dhokha","$181,167"
"Strangers (2007)","$179,827"
"Aggar","$175,338"
"Shoot 'Em Up","$172,391"
"No Reservations","$171,108"
"30 Days of Night","$168,159"
"A Mighty Heart","$165,340"
"Surf's Up","$163,715"
"Showbiz","$155,955"
"Vacancy","$152,921"
"Lions for Lambs","$148,564"
"Hitman","$147,031"
"Yatra","$143,947"
"Manorama Six Feet Under","$141,551"
"The Kingdom","$138,572"
"Nanhe Jaisalmer","$136,377"
"Wild Hogs","$114,846"
"Shooter","$114,706"
"The Invasion","$112,901"
"Gauri: The Unborn","$109,366"
"Little Miss Sunshine","$104,973"
"Epic Movie","$104,039"
"Swami (2007)","$94,173"
"28 Weeks Later","$90,640"
"The Reaping","$82,746"
"Kudiyon Ka Hai Zamana","$79,874"
"Meet the Robinsons","$77,595"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$76,023"
"Undertrail","$70,015"
"Dreamgirls","$62,391"
"Red Swastik","$62,358"
"Zodiac","$61,468"
"Kaisay Kahein...","$60,058"
"Disturbia","$59,604"
"License to Wed","$54,139"
"Anwar","$53,256"
