" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Tourist","Sony","$800,734","-","60","-","$13,346","$800,734","1"
"2","1","Tron Legacy","Disney","$215,269","-48.6%","55","-50","$3,914","$2,239,466","3"
"3","2","Tangled","Disney","$9,871","-63.7%","7","-4","$1,410","$1,843,214","5"
"4","4","Due Date","WB","$8,465","-48.7%","4","-3","$2,116","$309,103","4"
"5","3","Harry Potter and the Deathly Hallows (Part One)","WB","$5,939","-69.0%","8","-6","$742","$6,140,152","7"
"6","5","Devil","UIP","$2,188","-86.0%","3","-7","$729","$192,263","3"
"7","7","The Last Airbender","UIP","$259","-27.7%","1","-","$259","$3,185,064","22"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Tron Legacy","Disney","$418,741","-44.0%","105","-5","$3,988","$1,734,944","2"
"2","2","Tangled","Disney","$27,215","-77.4%","11","-43","$2,474","$1,809,637","4"
"3","3","Harry Potter and the Deathly Hallows (Part One)","WB","$19,126","-76.6%","14","-22","$1,366","$6,101,719","6"
"4","5","Due Date","WB","$16,503","-72.5%","7","-13","$2,358","$291,437","3"
"5","4","Devil","UIP","$15,605","-80.6%","10","-14","$1,561","$181,146","2"
"6","6","Paranormal Activity 2","UIP","$5,302","-76.2%","3","-13","$1,767","$267,447","4"
"7","7","The Last Airbender","UIP","$358","-93.4%","1","-2","$358","$3,134,012","21"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Tron Legacy","Disney","$747,311","-","110","-","$6,794","$747,311","1"
"2","2","Tangled","Disney","$120,293","-49.0%","54","-14","$2,228","$1,698,532","3"
"3","1","Harry Potter and the Deathly Hallows (Part One)","WB","$81,833","-66.1%","36","-55","$2,273","$6,038,639","5"
"4","N","Devil","UIP","$80,348","-","24","-","$3,348","$118,729","1"
"5","3","Due Date","WB","$59,949","-43.1%","20","-10","$2,997","$243,207","2"
"6","4","Paranormal Activity 2","UIP","$22,249","-48.3%","16","+2","$1,391","$245,225","3"
"7","5","The Last Airbender","UIP","$5,449","+105.7%","3","+2","$1,816","$3,130,713","20"
"8","6","Takers","Sony","$694","-51.1%","1","-","$694","$747,556","8"
"9","8","A Nightmare on Elm Street (2010)","WB","$470","+99.2%","1","-","$470","$399,654","32"
"10","10","The Losers","WB","$9","-","1","-","$9","$152,918","30"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Harry Potter and the Deathly Hallows (Part One)","WB","$241,264","-55.0%","91","-24","$2,651","$5,834,659","4"
"2","2","Tangled","Disney","$235,803","-38.1%","68","-2","$3,468","$1,457,789","2"
"3","N","Due Date","WB","$105,313","-","30","-","$3,510","$124,617","1"
"4","3","Paranormal Activity 2","UIP","$43,007","-42.5%","14","-4","$3,072","$200,164","2"
"5","5","The Last Airbender","UIP","$2,649","-4.3%","1","-","$2,649","$3,120,460","19"
"6","9","Takers","Sony","$1,419","+155.7%","1","-1","$1,419","$746,583","7"
"7","4","Megamind","UIP","$1,052","-85.5%","1","-5","$1,052","$1,260,778","6"
"8","10","A Nightmare on Elm Street (2010)","WB","$236","+68.6%","1","-","$236","$399,087","31"
"9","7","The Social Network","Sony","$67","-94.1%","1","-2","$67","$337,652","6"
"10","6","The Losers","WB","$9","-99.4%","1","-1","$9","$152,877","29"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Harry Potter and the Deathly Hallows (Part One)","WB","$536,599","-52.5%","115","-","$4,666","$5,147,501","3"
"2","N","Tangled","Disney","$381,136","-","70","-","$5,445","$889,300","1"
"3","N","Paranormal Activity 2","UIP","$74,780","-","18","-","$4,154","$83,718","1"
"4","2","Megamind","UIP","$7,241","-75.3%","6","-6","$1,207","$1,259,726","5"
"5","8","The Last Airbender","UIP","$2,769","+1,997.7%","1","-","$2,769","$3,114,477","18"
"6","-","The Losers","WB","$1,484","-","2","-","$742","$151,205","28"
"7","3","The Social Network","Sony","$1,140","-59.1%","3","-2","$380","$337,062","5"
"8","5","You Again","Disney","$903","-37.3%","1","-3","$903","$157,325","4"
"9","4","Takers","Sony","$555","-68.8%","2","-4","$278","$745,164","6"
"10","7","A Nightmare on Elm Street (2010)","WB","$140","-77.9%","1","-","$140","$398,478","30"
"0","6","Eat Pray Love","Sony","n/a","-100.0%","n/a","-2","n/a","$1,476,834","8"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Harry Potter and the Deathly Hallows (Part One)","WB","$1,130,503","-43.6%","115","-","$9,830","$4,169,162","2"
"2","2","Megamind","UIP","$29,353","-71.5%","12","-18","$2,446","$1,250,062","4"
"3","3","The Social Network","Sony","$2,784","-90.4%","5","-13","$557","$335,513","4"
"4","4","Takers","Sony","$1,777","-93.4%","6","-12","$296","$743,848","5"
"5","5","You Again","Disney","$1,441","-82.1%","4","-1","$360","$157,426","3"
"6","6","Eat Pray Love","Sony","$779","-84.0%","2","-7","$390","$1,476,782","7"
"7","-","A Nightmare on Elm Street (2010)","WB","$634","-","1","-","$634","$402,086","29"
"8","-","The Last Airbender","UIP","$132","-","1","-","$132","$3,143,867","17"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Harry Potter and the Deathly Hallows (Part One)","WB","$2,004,835","-","115","-","$17,433","$2,004,835","1"
"2","1","Megamind","UIP","$102,890","-63.9%","30","-35","$3,430","$1,187,278","3"
"3","2","The Social Network","Sony","$28,908","-60.6%","18","-","$1,606","$331,315","3"
"4","4","Takers","Sony","$26,966","-50.6%","18","+1","$1,498","$740,773","4"
"5","3","You Again","Disney","$8,041","-87.5%","5","-20","$1,608","$153,835","2"
"6","5","Eat Pray Love","Sony","$4,863","-58.5%","9","-","$540","$1,475,422","6"
"7","6","The Bounty Hunter","Sony","$503","-89.9%","1","-5","$503","$225,324","29"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Megamind","UIP","$284,600","-24.4%","65","-","$4,378","$818,759","2"
"2","2","The Social Network","Sony","$73,373","-57.9%","18","-12","$4,076","$290,717","2"
"3","N","You Again","Disney","$64,091","-","25","-","$2,564","$92,258","1"
"4","3","Takers","Sony","$54,634","-63.1%","17","-33","$3,214","$701,298","3"
"5","4","Eat Pray Love","Sony","$11,715","-63.5%","9","-20","$1,302","$1,468,369","5"
"6","10","The Bounty Hunter","Sony","$4,985","+1,578.5%","6","-14","$831","$224,249","28"
"7","6","Life as We Know It","WB","$3,653","+159.3%","5","+3","$731","$280,442","4"
"8","9","The Last Airbender","UIP","$2,839","+509.2%","2","+1","$1,420","$3,139,889","15"
"9","5","The Other Guys","Sony","$1,729","-18.6%","2","-","$865","$346,887","6"
"10","8","Legend of the Guardians: The Owls of Ga'Hoole","WB","$1,246","+107.7%","1","-","$1,246","$632,062","7"
"11","7","A Nightmare on Elm Street (2010)","WB","$547","-56.3%","1","-","$547","$400,346","27"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Megamind","UIP","$376,591","-","65","-","$5,794","$376,591","1"
"2","N","The Social Network","Sony","$174,320","-","30","-","$5,811","$190,116","1"
"3","1","Takers","Sony","$148,031","-61.5%","50","-","$2,961","$626,245","2"
"4","2","Eat Pray Love","Sony","$32,130","-80.8%","29","-11","$1,108","$1,453,052","4"
"5","4","The Other Guys","Sony","$2,124","-79.6%","2","-28","$1,062","$345,008","5"
"6","3","Life as We Know It","WB","$1,409","-97.8%","2","-17","$705","$266,068","3"
"7","7","A Nightmare on Elm Street (2010)","WB","$1,251","-70.9%","1","-1","$1,251","$399,348","26"
"8","6","Legend of the Guardians: The Owls of Ga'Hoole","WB","$600","-88.6%","1","-4","$600","$630,569","6"
"9","5","The Last Airbender","UIP","$466","-95.4%","1","-3","$466","$3,136,359","14"
"10","-","The Bounty Hunter","Sony","$297","-","20","-","$15","$219,264","27"
"11","8","Going the Distance","WB","$289","-79.3%","1","-","$289","$82,836","5"
"12","9","The Sorcerer's Apprentice","Disney","$273","-13.6%","1","-","$273","$2,007,847","16"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Takers","Sony","$384,032","-","50","-","$7,681","$412,058","1"
"2","1","Eat Pray Love","Sony","$167,104","-53.2%","40","-","$4,178","$1,392,314","3"
"3","2","Life as We Know It","WB","$63,222","-35.7%","19","-10","$3,327","$207,920","2"
"4","4","The Other Guys","Sony","$10,394","-46.9%","30","-","$346","$340,960","4"
"5","3","The Last Airbender","UIP","$10,085","-49.0%","4","-3","$2,521","$3,134,193","13"
"6","5","Legend of the Guardians: The Owls of Ga'Hoole","WB","$5,282","-50.4%","5","-4","$1,056","$630,306","5"
"7","6","A Nightmare on Elm Street (2010)","WB","$4,291","-51.5%","2","-3","$2,146","$396,543","25"
"8","9","Going the Distance","WB","$1,393","-43.3%","1","-3","$1,393","$82,287","4"
"9","8","The Sorcerer's Apprentice","Disney","$316","-91.1%","1","-","$316","$2,008,565","15"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Eat Pray Love","Sony","$356,665","-48.6%","40","-","$8,917","$1,172,550","2"
"2","7","Life as We Know It","WB","$98,266","+1,042.8%","29","+4","$3,388","$106,865","1"
"3","4","The Last Airbender","UIP","$19,766","-15.9%","7","+2","$2,824","$3,115,938","12"
"4","2","The Other Guys","Sony","$19,578","-64.5%","30","-","$653","$325,871","3"
"5","3","Legend of the Guardians: The Owls of Ga'Hoole","WB","$10,655","-58.3%","9","-3","$1,184","$623,596","4"
"6","5","A Nightmare on Elm Street (2010)","WB","$8,847","-59.8%","5","-2","$1,769","$389,426","24"
"7","11","Zombieland","Sony","$4,854","+2,859.8%","3","+2","$1,618","$225,259","46"
"8","9","The Sorcerer's Apprentice","Disney","$3,539","+110.7%","1","-1","$3,539","$2,006,878","14"
"9","6","Going the Distance","WB","$2,458","-78.9%","4","-5","$615","$80,074","3"
"10","8","Grown Ups","Sony","$843","-77.0%","1","-2","$843","$465,870","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Eat Pray Love","Sony","$694,113","-","40","-","$17,353","$694,113","1"
"2","1","The Other Guys","Sony","$55,144","-72.6%","30","-","$1,838","$300,605","2"
"3","2","Legend of the Guardians: The Owls of Ga'Hoole","WB","$25,533","-81.8%","12","-28","$2,128","$606,931","3"
"4","4","The Last Airbender","UIP","$23,511","+26.1%","5","+1","$4,702","$3,083,914","11"
"5","-","A Nightmare on Elm Street (2010)","WB","$22,022","-","7","-","$3,146","$369,192","23"
"6","3","Going the Distance","WB","$11,667","-72.1%","9","-9","$1,296","$73,218","2"
"7","-","Life as We Know It","WB","$8,599","-","25","-","$344","$8,599","-"
"8","5","Grown Ups","Sony","$3,666","-67.3%","3","-3","$1,222","$464,738","8"
"9","8","The Sorcerer's Apprentice","Disney","$1,680","+39.1%","2","-","$840","$2,001,880","13"
"10","7"," Cloudy with a Chance of Meatballs","Sony","$341","-88.3%","1","-5","$341","$667,890","53"
"11","9","Zombieland","Sony","$164","-49.2%","1","-","$164","$220,405","45"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","The Other Guys","Sony","$201,204","-","30","-","$6,707","$216,744","1"
"2","1","Legend of the Guardians: The Owls of Ga'Hoole","WB","$140,365","-42.9%","40","-10","$3,509","$550,787","2"
"3","N","Going the Distance","WB","$41,798","-","18","-","$2,322","$46,336","1"
"4","4","The Last Airbender","UIP","$18,639","+72.5%","4","+1","$4,660","$3,049,064","10"
"5","5","Grown Ups","Sony","$11,212","+176.2%","6","+1","$1,869","$455,036","7"
"6","-","Predators","Fox","$7,184","-","3","-","$2,395","$789,793","14"
"7","-"," Cloudy with a Chance of Meatballs","Sony","$2,917","-","6","-","$486","$667,340","52"
"8","3","The Sorcerer's Apprentice","Disney","$1,208","-89.6%","2","-3","$604","$1,998,497","12"
