" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$795,611","-7.3%","35","-","$22,732","$1,970,678","2"
"2","N","Everybody's Fine","Disney","$92,843","-","13","-","$7,142","$92,843","1"
"3","2","Couples Retreat","UIP","$86,544","-32.6%","29","-","$2,984","$546,565","3"
"4","3","2012","Sony","$73,355","-42.3%","28","-","$2,620","$2,500,905","7"
"5","4","Where the Wild Things Are","WB","$14,118","-68.0%","12","-","$1,177","$165,329","3"
"6","5","A Christmas Carol (2009)","Disney","$12,375","-65.7%","11","-1","$1,125","$432,398","5"
"7","6","Zombieland","Sony","$4,090","-81.6%","8","-7","$511","$169,894","4"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Avatar","Fox","$858,048","-","35","-","$24,516","$858,048","1"
"2","2","Couples Retreat","UIP","$128,325","-15.4%","29","-","$4,425","$420,400","2"
"3","1","2012","Sony","$127,129","-28.1%","28","-","$4,540","$2,399,796","6"
"4","4","Where the Wild Things Are","WB","$44,093","+2.8%","12","-","$3,674","$146,149","2"
"5","3","A Christmas Carol (2009)","Disney","$36,075","-49.4%","12","-5","$3,006","$417,541","4"
"6","5","Zombieland","Sony","$22,174","-47.3%","15","-","$1,478","$162,644","3"
"7","6"," Cloudy with a Chance of Meatballs","Sony","$13,049","-46.0%","5","-10","$2,610","$1,528,705","12"
"8","8","500 Days of Summer","Fox","$6,815","-45.2%","4","-4","$1,704","$208,131","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$176,842","-25.7%","28","-1","$6,316","$2,145,609","5"
"2","N","Couples Retreat","UIP","$151,700","-","29","-","$5,231","$211,038","1"
"3","2","A Christmas Carol (2009)","Disney","$71,225","-4.4%","17","-","$4,190","$297,561","3"
"4","N","Where the Wild Things Are","WB","$42,877","-","12","-","$3,573","$42,877","1"
"5","3","Zombieland","Sony","$42,060","-14.0%","15","-","$2,804","$101,370","2"
"6","6"," Cloudy with a Chance of Meatballs","Sony","$24,180","+137.3%","15","-1","$1,612","$1,448,339","11"
"7","4","Inglourious Basterds","UIP","$12,551","-59.8%","6","-12","$2,092","$2,255,778","13"
"8","5","500 Days of Summer","Fox","$12,432","-36.9%","8","-1","$1,554","$192,004","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$237,920","-37.5%","29","-","$8,204","$1,915,034","4"
"2","2","A Christmas Carol (2009)","Disney","$74,469","-33.9%","17","-1","$4,381","$212,357","2"
"3","N","Zombieland","Sony","$48,901","-","15","-","$3,260","$48,901","1"
"4","3","Inglourious Basterds","UIP","$31,247","-31.8%","18","-4","$1,736","$2,232,037","12"
"5","4","500 Days of Summer","Fox","$19,689","-34.2%","9","-","$2,188","$172,143","4"
"6","6"," Cloudy with a Chance of Meatballs","Sony","$10,190","-48.2%","16","-4","$637","$1,423,264","10"
"7","5","My Sister's Keeper","WB","$8,650","-62.5%","12","-4","$721","$816,316","10"
"8","7","Julie & Julia","Sony","$7,624","-44.4%","12","-1","$635","$543,132","9"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens / Avg."," Gross-to-Date"," Week",""
"1","1","2012","Sony","$380,489","-13.0%","29","$13,120","$1,572,200","3"
"2","N","A Christmas Carol (2009)","Disney","$112,728","-","18","$6,263","$112,728","1"
"3","2","Inglourious Basterds","UIP","$45,832","-11.3%","22","$2,083","$2,137,744","11"
"4","3","500 Days of Summer","Fox","$29,910","-20.3%","9","$3,323","$144,067","3"
