" Movie Title"," Gross"
"Avatar","$83,498,193"
"Benvenuti al Sud","$43,015,634"
"Alice in Wonderland (2010)","$39,952,697"
"La banda dei babbi natale","$29,125,119"
"Natale in Sud Africa","$24,898,572"
"Harry Potter and the Deathly Hallows (Part One)","$23,988,197"
"Shrek Forever After","$23,451,561"
"Io, Loro e Lara","$21,347,896"
"The Twilight Saga: Eclipse","$20,711,944"
"Toy Story 3","$18,855,881"
"Maschi contro femmine","$18,452,860"
"Despicable Me","$17,064,781"
"Inception","$15,459,083"
"The Tourist","$15,372,649"
"Robin Hood","$14,676,791"
"Tangled","$14,670,362"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$14,235,348"
"Baciami ancora (Kiss Me Again)","$12,373,612"
"Genitori & figli. Agitare bene prima dell'uso","$11,455,266"
"Mine vaganti (Loose Cannons)","$10,994,715"
"A Natale mi sposo","$10,583,880"
"Clash of the Titans (2010)","$10,275,464"
"Iron Man 2","$9,979,666"
"Megamind","$9,751,231"
"The Sorcerer's Apprentice","$9,571,490"
"Shutter Island","$9,434,156"
"Step Up 3-D","$9,282,511"
"Scusa ma ti voglio sposare","$9,217,837"
"Paranormal Activity","$9,153,419"
"La prima cosa bella","$9,115,665"
"Invictus","$9,063,387"
"Prince of Persia: The Sands of Time","$8,912,558"
"Tron Legacy","$8,199,698"
"Alvin and the Chipmunks: The Squeakquel","$8,197,134"
"The Last Airbender","$7,821,944"
"Sex and the City 2","$7,802,889"
"How to Train Your Dragon","$7,505,879"
"Up in the Air","$7,439,717"
"Saw 3D","$7,037,160"
"Law Abiding Citizen","$6,595,412"
"You Will Meet a Tall Dark Stranger","$6,487,957"
"La vita è una cosa meravigliosa","$6,161,728"
"Happy Family","$6,111,219"
"Vampires Suck","$6,000,711"
"The Wolfman","$5,937,460"
"Sammy's Adventures: The Secret Passage","$5,778,551"
"Resident Evil: Afterlife","$5,253,337"
"Eat Pray Love","$5,000,639"
"It's Complicated","$4,985,582"
"La solitudine dei numeri primi (The Solitude of Prime Numbers)","$4,928,162"
"La bellezza del somaro","$4,901,585"
"Le concert (2009)","$4,825,505"
"The Ghost Writer","$4,811,454"
"Matrimoni e altri disastri","$4,769,415"
"The Final Destination","$4,590,236"
"Basilicata Coast to Coast","$4,588,816"
"Sharm El Sheik - Un'estate indimenticabile","$4,427,419"
"La nostra vita","$4,400,186"
"Percy Jackson & The Olympians: The Lightning Thief","$4,139,909"
"Wall Street: Money Never Sleeps","$4,137,171"
"The Expendables","$4,104,395"
"The Book of Eli","$3,916,301"
"Winx Club 3D: Magic Adventure","$3,872,632"
"Paranormal Activity 2","$3,856,430"
"La donna della mia vita","$3,825,937"
"The Social Network","$3,758,965"
"Green Zone","$3,636,987"
"Un altro mondo","$3,522,561"
"OceanWorld 3D","$3,297,162"
"The Town","$3,203,649"
"L'Elegance du Herrison","$3,198,555"
"Salt","$3,187,250"
"The A-Team","$3,143,928"
"La passione","$3,132,470"
"Surrogates","$3,118,374"
"Remember Me","$3,008,966"
"Il figlio più piccolo","$2,848,577"
"Agora (Mists of Time)","$2,819,873"
"Knight & Day","$2,816,693"
"Somewhere","$2,783,084"
"I Love You, Phillip Morris","$2,739,427"
"Solomon Kane","$2,622,017"
"The Karate Kid","$2,569,778"
"A Nightmare on Elm Street (2010)","$2,561,703"
"Did You Hear About the Morgans?","$2,561,420"
"Cosa voglio di più (What More Do I Want)","$2,548,548"
"Saw VI","$2,520,502"
"Marmaduke","$2,503,450"
"The Last Exorcism","$2,447,364"
"Ti presento un amico","$2,433,357"
"The Fourth Kind","$2,426,800"
"The Lovely Bones","$2,396,608"
"Soul Kitchen","$2,371,166"
"The Bounty Hunter","$2,208,057"
