" Movie Title"," Gross"
"Harry Potter and the Deathly Hallows (Part Two)","$124,331,909"
"Pirates of the Caribbean: On Stranger Tides (3D)","$108,856,481"
"Mission: Impossible - Ghost Protocol","$62,021,284"
"Kokuriko-zaka kara","$56,029,615"
"Transformers 3","$54,167,274"
"Sutekina kanashibari (Once in a Blue Moon)","$53,982,636"
"Gekijouban Pokketo monsutâ Besuto wisshu: Pikutini to kuroku eiyuu Zekuromu (Pokemon: Best Wishes)","$53,387,786"
"SP: The motion picture kakumei hen","$40,242,318"
"Gantz","$40,127,423"
"Eiga Kaibutsukun","$39,766,344"
"Cars 2","$38,124,194"
"Meitantei Conan: Chinmoku no kuôtâ (Detective Conan: Quarter of Silence)","$38,010,276"
"Gantz: Perfect Answer","$33,378,866"
"Tangled","$31,081,461"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$30,428,302"
"Rise of the Planet of the Apes","$30,246,723"
"Unfair 2: The Answer","$29,166,054"
"Eiga Doraemon Shin Nobita to tetsujin heidan: Habatake tenshitachi","$27,926,061"
"Moteki","$27,628,150"
"Black Swan","$27,403,464"
"The Three Musketeers (2011)","$24,394,935"
"Kamisama no karute (In His Chart)","$23,384,864"
"Andarushia: Megami no Houfuku","$22,929,221"
"The Tourist","$22,367,684"
"Gekijouban Kamen raidâ Ôzu Wonderful: Shougun to 21 no koa medaru","$22,313,925"
"The King's Speech","$21,400,881"
"Super 8","$20,643,034"
"Eiga Keion!","$20,256,351"
"Kaiji 2: Jinsei dakkai gêmu","$19,903,084"
"Princess Toyotomi","$19,122,151"
"Kamen raidâ x Kamen raidâ Fôze & Ôzu Movie taisen Mega Max","$18,982,811"
"Gulliver's Travels","$18,927,634"
"Gaku","$18,536,792"
"Friends: Mononokeshima no Naki","$18,401,601"
"Real Steel","$17,887,068"
"Taiheiyou no kiseki: Fokkusu to yobareta otoko (Oba: The Last Samurai)","$17,737,092"
"Fast Five","$17,707,642"
"Genji monogatari: Sennen no nazo","$17,295,465"
"Rengô kantai shirei chôkan: Yamamoto Isoroku","$17,041,086"
"The Social Network","$16,985,483"
"Paradaisu kisu (Paradise Kiss)","$16,788,726"
"OOO, Den-O, All Riders: Let's Go Kamen Riders","$16,048,109"
"Tantei wa bar ni iru","$15,404,986"
"One Life","$15,387,362"
"Kureyon Shinchan: Arashi o yobu ougon no supai daisakusen","$14,295,582"
"Boku to tsuma no 1778 no monogatari (1,778 Stories of Me and My Wife)","$14,274,150"
"Red","$14,239,761"
"Gekijouban Inazuma irebun Go: Kyuukyoku no kizuna Gurifon","$14,180,109"
"Yôkame no semi (Rebirth)","$14,066,908"
"The Adventures of Tintin","$13,513,900"
"Kung Fu Panda 2","$13,314,024"
"Unstoppable","$12,807,068"
"Ashita no Joe","$12,124,367"
"Hankyu densha","$11,879,956"
"Moneyball","$11,402,311"
