" Movie Title"," Gross"
"Pirates of the Caribbean: On Stranger Tides (3D)","$467,710"
"Kung Fu Panda 2","$351,219"
"Rio","$349,354"
"Cars 2","$334,742"
"The Hangover Part II","$312,772"
"The Smurfs","$307,172"
"Harry Potter and the Deathly Hallows (Part Two)","$276,038"
"Tangled","$266,338"
"Transformers 3","$248,076"
"Fast Five","$241,074"
"The King's Speech","$169,742"
"Just Go With It","$155,940"
"Horrible Bosses","$153,093"
"Rango","$144,361"
"No Strings Attached","$104,739"
"Tron Legacy","$98,846"
"Thor","$96,627"
"Sluzhebnyy roman - Nashe vremya (Office Romance)","$84,007"
"Mr. Popper's Penguins","$82,397"
"Bad Teacher","$80,373"
"Black Swan","$77,880"
"Super 8","$74,813"
"Vykrutasy (Lucky Trouble)","$70,352"
"The Adjustment Bureau","$67,402"
"Hall Pass","$66,614"
"Final Destination 5","$66,179"
"Bridesmaids","$65,194"
"Captain America: The First Avenger","$64,654"
"The Mechanic","$64,332"
"Source Code","$62,982"
"Rise of the Planet of the Apes","$62,058"
"Battle: Los Angeles","$56,991"
"The Green Hornet","$56,048"
"Sanctum (3D)","$54,692"
"Love and Other Drugs","$51,902"
"X-Men: First Class","$51,270"
"Red Riding Hood","$50,284"
"The Very Best Movie 3D","$50,201"
"Larry Crowne","$47,545"
"Limitless","$46,209"
"Big Mommas: Like Father, Like Son","$44,040"
"Yogi Bear","$43,945"
"Something Borrowed","$42,524"
"Jane Eyre (2011)","$41,113"
"Life as We Know It","$40,580"
"Water for Elephants","$39,823"
"Sucker Punch","$37,631"
"Cowboys & Aliens","$37,039"
"Hop","$36,935"
"Lotte ja kuukivi saladus (Lotte and the Moonstone Secret)","$36,105"
"Paul","$34,131"
"Drive Angry","$33,261"
"The Change-Up","$33,073"
"Conan the Barbarian (2011)","$32,461"
"The Rite","$30,530"
"Lubov morkov 3 (Lovey Dovey 3)","$29,522"
"How Do You Know","$29,393"
"Green Lantern","$28,933"
"Blitz","$28,832"
"Scream 4","$28,553"
"The Dilemma","$28,324"
"Biutiful","$28,189"
"True Grit","$27,276"
"Season of the Witch","$24,927"
"Potiche","$24,144"
"De vrais mensonges (Full Treatment)","$23,002"
"Friends with Benefits","$22,796"
"The Lincoln Lawyer","$22,081"
"Hanna","$21,886"
"I Am Number Four","$19,926"
"Sea Rex 3D: Journey to a Prehistoric World","$19,052"
"The Roommate","$17,961"
"The Eagle","$17,573"
"Sammy's Adventures: The Secret Passage","$17,503"
"Your Highness","$16,701"
"Somewhere","$14,176"
"Les amours imaginaires (Heartbeats)","$11,897"
"Zookeeper","$11,895"
"Monsieur Taurins","$11,633"
"Love, Wedding, Marriage","$11,157"
"The Fighter","$9,942"
"Beastly","$9,616"
"Blue Valentine","$7,828"
"Vanishing on 7th Street","$7,619"
"Colombiana","$6,918"
"The Kids Are All Right","$5,878"
"Winx Club 3D: Magic Adventure","$5,337"
"Invisible Sign","$5,113"
"Fair Game (2010)","$4,670"
"I Love You Too","$2,852"
"Ondine","$1,934"
"Rabbit Hole","$1,350"
