" Movie Title"," Gross"
"The Dark Knight","$383,522"
"Captain Hima","$382,576"
"Quantum of Solace","$377,512"
"Mamma Mia!","$360,054"
"High School Musical 3: Senior Year","$293,325"
"Wanted","$279,626"
"Twilight","$279,268"
"Mme Bambino","$266,835"
"Hancock","$239,491"
"Get Smart","$237,863"
"Madagascar: Escape 2 Africa","$222,975"
"Body of Lies","$213,809"
"What Happens in Vegas","$202,649"
"Kung Fu Panda","$189,558"
"Taken","$187,285"
"The Mummy: Tomb of the Dragon Emperor","$186,406"
"Al Dadda Doody","$179,819"
"Beirut Open City","$172,932"
"Sex and the City","$168,919"
"Transporter 3","$164,167"
"Eagle Eye","$154,582"
"Bedtime Stories","$148,488"
"Indiana Jones and the Kingdom of the Crystal Skull","$147,982"
"Hasan we Morqos","$147,833"
"Four Christmases","$142,031"
"Death Race","$119,958"
"10,000 B.C.","$119,927"
"The Chronicles of Narnia: Prince Caspian","$118,958"
"Australia","$116,418"
"Bahr Al Nujoom (Sea Of Stars)","$114,655"
"Vantage Point","$114,369"
"I Am Legend","$113,880"
"Made of Honor","$111,357"
"Meet Dave","$111,153"
"Forgetting Sarah Marshall","$109,247"
"Step Up 2 the Streets","$106,912"
"Nights in Rodanthe","$105,442"
"The Day the Earth Stood Still (2008)","$105,410"
"Aasef ala el-iz'ag","$105,008"
"Astérix aux jeux olympiques","$104,694"
"Iron Man","$101,817"
"Wall-E","$97,054"
"The Incredible Hulk","$94,983"
"Khallik Maai","$94,116"
"Tropic Thunder","$93,867"
"21","$89,757"
"Burn After Reading","$87,823"
"Max Payne","$86,851"
"Butterfly on a Wheel","$84,901"
"Definitely, Maybe","$83,621"
"Charlie Wilson's War","$83,480"
"Disaster Movie","$81,231"
"Mirrors","$76,367"
"Babylon A.D.","$74,606"
"Fool's Gold","$70,995"
"The Other Boleyn Girl","$70,788"
"Beverly Hills Chihuahua","$69,387"
"Bolt","$69,055"
"College Road Trip","$68,116"
"We Own the Night","$68,069"
"Wedding Daze","$67,132"
"Atonement","$64,451"
"Untraceable","$63,544"
"The Duchess","$63,169"
"Wild Child","$63,111"
"27 Dresses","$60,879"
"The Women (2008)","$60,393"
"Rambo","$59,788"
"Righteous Kill","$57,700"
"The Strangers","$57,498"
"Jumper","$57,271"
"Superhero Movie","$52,977"
"Keda Reda","$52,331"
"The Kite Runner","$51,750"
"Love in the Time of Cholera","$50,304"
"Boushkash","$49,794"
"The House Bunny","$49,696"
"Mongol","$49,487"
"Cloverfield","$46,175"
"My Blueberry Nights","$45,450"
"Nems bond","$41,933"
"Welcome Home Roscoe Jenkins","$41,877"
"Al Rayes Omar Harb","$40,982"
"No Country for Old Men","$39,369"
"Bangkok Dangerous (2008)","$39,042"
"Heya fawda","$38,571"
"The X-Files: I Want to Believe","$38,081"
"Baby Mama","$37,456"
"Bienvenue chez les Ch'tis","$36,694"
"The Happening","$34,790"
"Al Jazira","$34,725"
"Feel the Noise","$34,388"
"Death Defying Acts","$34,139"
"88 Minutes","$33,347"
"There Will Be Blood","$33,303"
"La Masseria delle allodole","$33,107"
"The Love Guru","$32,079"
"August Rush","$31,896"
"I Could Never Be Your Woman","$30,936"
"The Forbidden Kingdom","$30,814"
"The Water Horse: Legend of the Deep","$29,946"
"Awake","$29,402"
"30 Days of Night","$28,764"
"The Bucket List","$28,531"
"Elegy","$28,472"
"The Bank Job","$27,654"
"One Missed Call","$26,191"
"Dr. Seuss' Horton Hears a Who!","$26,024"
"The Long Weekend","$25,899"
"Eastern Promises","$25,286"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","$24,760"
"Deception (2008)","$23,948"
"Never Back Down","$23,618"
"P2","$23,594"
"Meet Bill","$22,930"
"Open Season 2","$20,839"
"Over Her Dead Body","$20,724"
"Persepolis","$20,550"
"Sweeney Todd: The Demon Barber of Fleet Street","$20,385"
"Das Leben der Anderen (The Lives of Others)","$20,324"
"2 Days in Paris","$19,820"
"Nim's Island","$19,282"
"Rescue Dawn","$19,195"
"Rendition","$18,113"
"Journey to the Center of the Earth","$18,050"
"The Night Listener","$17,791"
"Tabbakh El Rayes","$17,458"
"St. Trinian's","$17,249"
"The Visitor","$16,911"
"In the Name of the King: A Dungeon Siege Tale","$16,549"
"In the Valley of Elah","$15,817"
"The Mist","$15,641"
"Hellboy II: The Golden Army","$15,352"
"The Spiderwick Chronicles","$15,212"
"Mad Money","$14,702"
"Space Chimps","$14,636"
"Je veux voir","$14,635"
"The Invisible","$14,218"
"Dan in Real Life","$14,094"
"Married Life","$13,704"
"The Nanny Diaries","$13,585"
"Doomsday","$12,870"
"The Eye","$12,663"
"King of California","$12,128"
"City of Ember","$12,092"
"Juno","$11,672"
"Goya's Ghosts","$11,640"
"Things We Lost in the Fire","$11,582"
"Rogue","$11,244"
"Drillbit Taylor","$11,179"
"The Fall","$11,106"
"In the Land of Women","$11,043"
"Before the Devil Knows You're Dead","$11,014"
