" Movie Title"," Gross"
"Shrek Forever After","$688,295"
"Alice in Wonderland (2010)","$545,457"
"Despicable Me","$531,998"
"Zero 2","$366,043"
"Inception","$359,856"
"How to Train Your Dragon","$342,144"
"Step Up 3-D","$303,401"
"The Princess and the Frog","$284,064"
"The Twilight Saga: Eclipse","$278,952"
"Megamind","$264,917"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$263,036"
"Eat Pray Love","$246,562"
"Harry Potter and the Deathly Hallows (Part One)","$240,902"
"Sherlock Holmes","$238,611"
"Toy Story 3","$235,594"
"Cats & Dogs: Revenge of Kitty Galore","$232,984"
"Sex and the City 2","$208,881"
"Robin Hood","$201,061"
"StreetDance 3D","$198,113"
"Resident Evil: Afterlife","$188,487"
"The Expendables","$179,503"
"Prince of Persia: The Sands of Time","$176,577"
"Clash of the Titans (2010)","$175,979"
"Due Date","$166,911"
"The Last Airbender","$156,754"
"Saw 3D","$154,115"
"Tron Legacy","$149,588"
"Nasha Russia: Yaytsa sudby","$143,875"
"Shutter Island","$140,653"
"Salt","$139,927"
"Valentine's Day","$137,453"
"Legend of the Guardians: The Owls of Ga'Hoole","$133,181"
"Little Fockers","$127,327"
"Yolki","$123,700"
"Amaya (Hong Kong Confidential)","$123,505"
"The Bounty Hunter","$111,690"
"Knight & Day","$107,223"
"Sammy's Adventures: The Secret Passage","$97,260"
"Iron Man 2","$97,230"
"It's Complicated","$95,087"
"The Sorcerer's Apprentice","$89,954"
"Buried","$88,765"
"Coco avant Chanel","$81,253"
"Killers","$80,785"
"The Social Network","$77,022"
"Predators","$71,618"
"Going the Distance","$70,660"
"Vampires Suck","$70,537"
"Red","$70,045"
"Black Lightning","$69,444"
"The Other Guys","$67,774"
"The Back-Up Plan","$63,497"
"Up in the Air","$61,555"
"The Nutcracker in 3D","$60,510"
"Unstoppable","$60,378"
"The Book of Eli","$60,288"
"The Town","$59,668"
"The Wolfman","$57,373"
"Tucker & Dale vs Evil","$56,585"
"Piranha 3D","$55,935"
"When in Rome","$55,449"
"Remember Me","$55,368"
"Grown Ups","$54,843"
"Date Night","$53,920"
"A Nightmare on Elm Street (2010)","$52,289"
"Utomlyonnye solntsem 2 (Burnt by the Sun 2)","$50,957"
"Skyline","$50,226"
"The A-Team","$49,732"
"Daybreakers","$49,034"
"Leap Year","$48,548"
"The Lovely Bones","$48,228"
"Get Him to the Greek","$48,116"
"Last Night","$47,336"
"Lyubov v bolshom gorode 2 (Love in the Big City 2)","$46,375"
"Dear John","$45,779"
"The Imaginarium of Doctor Parnassus","$44,427"
"The Young Victoria","$43,988"
"Machete","$42,758"
"Percy Jackson & The Olympians: The Lightning Thief","$42,731"
"From Paris with Love","$41,649"
"Did You Hear About the Morgans?","$41,491"
"You Again","$39,934"
"Green Zone","$38,884"
"The Switch","$38,222"
"The Next Three Days","$36,044"
"Dorian Gray","$35,123"
"I Love You, Phillip Morris","$34,434"
"The Karate Kid","$32,609"
"Centurion","$32,383"
"The Fighter","$31,626"
"Ninja Assassin","$30,923"
"Wall Street: Money Never Sleeps","$30,829"
"Letters to Juliet","$29,538"
"Kai apkabinsiu tave (Back to Your Arms)","$29,099"
"Bad Lieutenant: Port of Call New Orleans","$28,812"
"Marmaduke","$28,788"
"The Men Who Stare at Goats","$28,477"
"Devil","$28,336"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","$27,477"
"Legion (2010)","$26,802"
"L'arnacoeur (Heartbreaker)","$25,248"
"Nanny McPhee and The Big Bang","$24,573"
"Tortuga - Die unglaubliche Reise der Meeresschildkröte (Turtle: The Incredible Journey)","$24,352"
"The Fourth Kind","$23,936"
"Stone","$22,156"
"13","$21,388"
"Veronika Decides to Die","$21,100"
"Hot Tub Time Machine","$20,875"
"Faster","$20,441"
"Invictus","$19,404"
"Del amor y otros demonios","$19,176"
"Pope Joan","$19,051"
"Easy A","$18,785"
"Soul Kitchen","$18,374"
"Magic Paris","$18,245"
"Furry Vengeance","$18,211"
"Let Me In","$17,457"
"The Box","$16,438"
"Oceans","$16,291"
"Space Dogs 3D","$15,415"
"Rare Exports: A Christmas Tale","$14,131"
"Brothers","$12,972"
"Chloe","$12,544"
"Yo, también (duplicate)","$12,193"
"Farewell (2010)","$11,768"
"Edge of Darkness","$11,438"
"Mother and Child","$11,210"
"Agora (Mists of Time)","$9,310"
"Coco Chanel & Igor Stravinsky","$8,799"
"The Crazies","$8,710"
"Hævnen (In a Better World)","$7,750"
"8 citas","$7,488"
"Chatroom","$7,196"
"Babies","$6,639"
"Nord","$5,965"
"Le Concert (2009) (see The Concert instead)","$5,603"
"Scott Pilgrim vs. the World","$4,806"
"The White Ribbon","$4,389"
"In the Loop","$4,352"
"Anarchija Zirmunuose","$4,085"
"Wszystko, co kocham (All That I Love)","$3,794"
"Kick Ass","$3,622"
"A Serious Man","$3,521"
"Mikro eglima (Small Crime)","$3,395"
"Flickan som lekte med elden","$2,941"
"Séraphine","$2,720"
"The Illusionist (2010)","$2,675"
"Nuovomondo (The Golden Door)","$2,253"
"Shrink","$1,969"
"Gordos","$1,641"
"Bright Star","$1,552"
"The Ghost Writer","$1,314"
"Tulpan","$455"
"La Pivellina","$423"
"The Killer Inside Me","$305"
"The Cove","$302"
"Whip It","$130"
