" Movie Title"," Gross"
"Avatar: Special Edition","$8,440,255"
"Iron Man 2","$4,642,633"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$4,266,217"
"The Karate Kid","$4,226,942"
"Clash of the Titans (2010)","$3,909,530"
"Prince of Persia: The Sands of Time","$3,848,629"
"Alice in Wonderland (2010)","$3,580,438"
"Gulliver's Travels","$3,569,846"
"Resident Evil: Afterlife","$3,563,274"
"Harry Potter and the Deathly Hallows (Part One)","$3,561,688"
"Yip Man 2: Chung si chuen kei","$3,488,158"
"Tron Legacy","$3,128,368"
"Endhiran","$3,048,246"
"Tangled","$3,000,230"
"Toy Story 3","$2,812,540"
"Salt","$2,634,070"
"The Sorcerer's Apprentice","$2,571,524"
"The Last Airbender","$2,542,932"
"Shrek Forever After","$2,405,025"
"The Twilight Saga: Eclipse","$2,186,400"
"The Expendables","$2,125,236"
"Piranha 3D","$2,120,514"
"Adnan semp-it","$2,108,040"
"Inception","$2,093,461"
"Jing mo fung wan: Chen Zhen (Legend of the Fist: The Return of Chen Zhen)","$2,049,033"
"Percy Jackson & The Olympians: The Lightning Thief","$2,023,441"
"72 ga cho hak (72 Tenants of Prosperity)","$1,885,887"
"Predators","$1,885,217"
"Evolusi: KL Drift 2","$1,770,338"
"Unstoppable","$1,757,568"
"The Tourist","$1,681,003"
"How to Train Your Dragon","$1,664,138"
"The A-Team","$1,602,565"
"Megamind","$1,586,482"
"Little Big Soldier","$1,512,361"
"Step Up 3-D","$1,503,391"
"Child's Eye","$1,487,116"
"Singam","$1,471,508"
"Skyline","$1,460,702"
"Robin Hood","$1,363,204"
"Knight & Day","$1,316,116"
"The Wolfman","$1,313,991"
"The Spy Next Door","$1,296,526"
"Despicable Me","$1,230,633"
"Legion (2010)","$1,181,038"
"Tiger Woohoo","$1,178,693"
"All's Well Ends Well 2010","$1,172,656"
"Ice Kacang Puppy Love","$1,118,188"
"V3: Samseng Jalanan","$1,089,691"
"Magika","$1,041,237"
"Gam yee wai (14 Blades)","$1,007,827"
"Takers","$957,802"
"Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle Blanc-Sec)","$920,652"
"Yuet gwong bo hup","$910,000"
"Raavanan (Raavan dupe)","$906,396"
"Red","$903,153"
"Sura","$897,497"
"A Nightmare on Elm Street (2010)","$894,674"
"Di Renjie (Detective Dee and the Mystery of the Phantom Flame)","$887,808"
"The Other Guys","$880,971"
"The Legend Is Born: Ip Man","$873,806"
"Tooth Fairy","$859,552"
"Su Qi-Er (True Legend)","$843,226"
"Legend of the Guardians: The Owls of Ga'Hoole","$807,586"
"Ong Bak 3","$772,340"
"Grown Ups","$770,022"
"Sammy's Adventures: The Secret Passage","$742,057"
"Cats & Dogs: Revenge of Kitty Galore","$721,521"
"The Book of Eli","$692,387"
"Manmadhan Ambu","$653,942"
"Lu Pikirlah Sendiri","$640,980"
"Solomon Kane","$618,081"
"Little Fockers","$604,211"
"Being Human (2010)","$568,059"
"Old Dogs","$564,936"
"Devil","$555,731"
"Valentine's Day","$525,404"
"The Losers","$521,529"
"Bruce Lee, My Brother","$519,063"
"Vampires Suck","$511,600"
"Date Night","$499,141"
"Green Zone","$446,535"
"Old Cow Vs Tender Grass","$445,888"
"Life as We Know It","$443,749"
"Ayirathil Oruvan","$443,008"
"Eat Pray Love","$440,613"
"Wall Street: Money Never Sleeps","$434,317"
"Paiyya","$434,202"
"Phua Chu Kang The Movie","$430,445"
"The Adjustment Bureau","$425,119"
