" Movie Title"," Gross"
"Harry Potter and the Deathly Hallows (Part Two)","$34,163,720"
"Transformers 3","$30,502,854"
"Pirates of the Caribbean: On Stranger Tides (3D)","$28,992,018"
"Rio","$26,619,086"
"Fast Five","$25,942,449"
"Cars 2","$25,508,290"
"Kung Fu Panda 2","$24,391,091"
"The Smurfs","$21,069,657"
"Captain America: The First Avenger","$20,224,903"
"Thor","$19,547,866"
"The Twilight Saga: Breaking Dawn Part 1","$18,856,968"
"Puss in Boots","$15,931,886"
"Real Steel","$13,536,570"
"X-Men: First Class","$13,508,236"
"Rise of the Planet of the Apes","$12,717,644"
"Green Lantern","$12,470,854"
"The Hangover Part II","$12,205,269"
"Mission: Impossible - Ghost Protocol","$11,568,647"
"The Rite","$11,365,781"
"Rango","$10,466,177"
"Yogi Bear","$10,456,252"
"Zookeeper","$9,762,619"
"Black Swan","$9,645,726"
"Sherlock Holmes: A Game of Shadows","$9,039,045"
"Jack and Jill","$8,609,215"
"Top Cat","$8,199,985"
"Mr. Popper's Penguins","$7,931,378"
"Salvando al Soldado Pérez (Private Pérez)","$7,929,739"
"The Green Hornet","$7,895,269"
"Paranormal Activity 3","$7,855,171"
"Just Go With It","$7,541,870"
"Hop","$7,315,124"
"Alvin and the Chipmunks: Chipwrecked","$7,306,460"
"Super 8","$6,597,203"
"Presunto culpable (Presumed Guilty)","$6,585,640"
"The Lion King (in 3D)","$5,846,453"
"The Tourist","$5,573,978"
"Season of the Witch","$5,039,134"
"Immortals","$4,923,142"
"No Strings Attached","$4,854,699"
"Crazy, Stupid, Love.","$4,630,099"
"Unknown","$4,503,566"
"The Muppets","$4,318,666"
"Battle: Los Angeles","$4,230,173"
"The Adventures of Tintin","$4,077,733"
"Red Riding Hood","$4,049,641"
"The King's Speech","$4,035,804"
"Unstoppable","$3,956,996"
"Gnomeo and Juliet","$3,915,763"
"La leyenda de la llorona","$3,898,653"
"Cowboys & Aliens","$3,883,754"
"Big Mommas: Like Father, Like Son","$3,761,284"
"Bad Teacher","$3,680,635"
"Happy Feet Two","$3,595,472"
"Abduction","$3,560,690"
"Insidious","$3,508,302"
"Mars Needs Moms","$3,437,291"
"Horrible Bosses","$3,418,864"
"Arthur Christmas","$3,358,341"
"Friends with Benefits","$3,337,104"
"Water for Elephants","$3,323,779"
"Don't Be Afraid of the Dark","$3,318,629"
"Los ojos de Julia (Julia's Eyes)","$3,268,234"
"La otra familia","$3,229,969"
"Johnny English Reborn","$3,218,508"
"Pastorela","$3,017,828"
"Source Code","$2,882,091"
"Limitless","$2,851,166"
"In Time","$2,779,745"
"Final Destination 5","$2,758,184"
"Midnight in Paris","$2,706,290"
"The Change-Up","$2,671,597"
"The Adjustment Bureau","$2,645,045"
"Hereafter","$2,644,498"
"The Three Musketeers (2011)","$2,638,338"
"Tower Heist","$2,582,836"
"New Year's Eve","$2,553,129"
"The Greatest Miracle","$2,464,216"
"Dream House","$2,420,251"
"Contagion","$2,405,893"
"Love and Other Drugs","$2,380,041"
"Scream 4","$2,378,267"
"The Lincoln Lawyer","$2,293,951"
"Something Borrowed","$2,252,141"
"Larry Crowne","$2,248,235"
"I Am Number Four","$2,034,825"
"We Bought a Zoo","$2,031,541"
"Fright Night (2011)","$2,001,914"
"Sucker Punch","$1,993,564"
"Priest","$1,982,843"
"Sanctum (3D)","$1,948,096"
"Hall Pass","$1,830,458"
"Moneyball","$1,764,504"
"Labios Rojos","$1,753,706"
"Monte Carlo","$1,546,421"
"What's Your Number?","$1,506,855"
"True Grit","$1,402,472"
"The Dilemma","$1,326,571"
"The Fighter","$1,324,973"
"Conan the Barbarian (2011)","$1,319,934"
"Let Me In","$1,316,517"
"A Little Bit of Heaven","$1,286,440"
"Hoodwinked 2","$1,214,545"
"Burlesque","$1,155,918"
"127 Hours","$1,143,116"
"Miss Bala","$1,134,380"
"Bridesmaids","$1,097,609"
"Justin Bieber: Never Say Never","$1,091,675"
"Splice","$1,052,060"
"The Mechanic","$1,049,194"
"The Skin I Live In","$1,045,188"
"Paranômaru akutibiti: Dai-2-shô - Tokyo Night","$1,019,712"
"Dolphin Tale","$1,011,445"
"Mientras duermes (Sleep Tight)","$987,277"
"Drive Angry","$889,447"
