" Movie Title"," Gross"
"Avatar","$23,686,268"
"Harry Potter and the Half Blood Prince","$16,439,512"
"Ice Age: Dawn of the Dinosaurs","$13,453,093"
"Komt een vrouw bij de dokter","$12,514,413"
"Up","$8,551,982"
"Angels & Demons","$7,760,800"
"Alvin and the Chipmunks: The Squeakquel","$7,077,813"
"Inglourious Basterds","$6,874,289"
"2012","$6,836,005"
"De storm","$6,684,207"
"Michael Jackson's This Is It","$5,918,448"
"The Hangover","$5,279,285"
"Slumdog Millionaire","$5,268,767"
"The Proposal","$4,433,562"
"The Curious Case of Benjamin Button","$4,157,439"
"Terug naar de kust","$3,928,464"
"Anubis en de wraak van Arghus","$3,779,210"
"Transformers: Revenge of the Fallen","$3,730,164"
"Yes Man","$3,719,800"
"Valkyrie","$3,661,614"
"Bolt","$3,577,161"
"Fast and Furious","$3,559,229"
"It's Complicated","$3,247,030"
"The Twilight Saga: New Moon","$3,122,069"
"G-Force","$3,054,178"
"Brüno","$2,940,743"
"Sinterklaas en de verdwenen pakjesboot","$2,704,079"
"De hel van '63","$2,651,361"
"X-Men Origins: Wolverine","$2,616,177"
"Spangas op survival","$2,614,591"
"The Final Destination","$2,464,512"
"Public Enemies","$2,459,994"
"Night at the Museum: Battle of the Smithsonian","$2,317,341"
"17 Again","$2,303,876"
"A Christmas Carol (2009)","$2,235,529"
"Het geheim van Mega Mindy","$2,214,058"
"Monsters Vs. Aliens","$2,201,054"
"Terminator Salvation: The Future Begins","$2,116,160"
"Spion van Oranje","$2,113,591"
"Lover of Loser","$2,101,031"
"The Reader","$2,000,700"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","$1,950,789"
"Confessions of a Shopaholic","$1,866,412"
"Fame (2009)","$1,842,969"
"The Ugly Truth","$1,835,456"
"The Taking of Pelham One, Two, Three","$1,749,121"
"He's Just Not That Into You","$1,747,003"
"Marley and Me","$1,739,447"
"Knowing","$1,569,491"
"Watchmen","$1,524,786"
"Bride Wars","$1,512,958"
"Star Trek","$1,509,031"
"My Sister's Keeper","$1,482,010"
"Kikkerdril","$1,337,130"
"G.I. Joe","$1,334,290"
"Old Dogs","$1,312,085"
"Hotel for Dogs","$1,186,296"
"My Bloody Valentine 3-D","$1,175,804"
"Brothers","$1,135,154"
"Law Abiding Citizen","$1,119,372"
"Beverly Hills Chihuahua","$1,019,753"
"Plop en de kabouterbaby","$1,005,715"
"The Tale of Despereaux","$971,010"
"Ghosts of Girlfriends Past","$966,774"
"Coco avant Chanel","$966,553"
"Paranormal Activity","$957,268"
"Surrogates","$949,422"
"Couples Retreat","$839,613"
"Gran Torino","$827,018"
"Seven Pounds","$826,954"
"Suske en Wiske: De Texas rakkers","$825,109"
"Precious: Based on the Novel "Push" by Sapphire","$806,168"
