" Movie Title"," Gross"
"Avatar","$12,587,471"
"Transformers: Revenge of the Fallen","$5,463,402"
"The Twilight Saga: New Moon","$4,386,377"
"Harry Potter and the Half Blood Prince","$4,251,833"
"Ice Age: Dawn of the Dinosaurs","$4,024,380"
"Slumdog Millionaire","$3,090,135"
"Up","$2,948,653"
"Alvin and the Chipmunks: The Squeakquel","$2,767,787"
"Michael Jackson's This Is It","$2,698,899"
"Sherlock Holmes","$2,690,356"
"The Lovely Bones","$2,388,913"
"The Hangover","$2,329,884"
"2012","$2,057,977"
"Angels & Demons","$1,875,547"
"District 9","$1,863,601"
"Star Trek","$1,817,496"
"X-Men Origins: Wolverine","$1,740,515"
"Monsters Vs. Aliens","$1,710,569"
"The Proposal","$1,709,483"
"Fast and Furious","$1,653,441"
"Terminator Salvation: The Future Begins","$1,647,437"
"Brüno","$1,593,547"
"The Topp Twins: Untouchable Girls","$1,582,913"
"Night at the Museum: Battle of the Smithsonian","$1,506,291"
"Julie & Julia","$1,370,503"
"G.I. Joe","$1,367,884"
"Hannah Montana The Movie","$1,306,617"
"G-Force","$1,261,251"
"Inglourious Basterds","$1,238,584"
"Yes Man","$1,115,875"
"Bolt","$1,110,008"
"Year One","$1,084,720"
"Män som hatar kvinnor (The Girl with the Dragon Tattoo)","$987,505"
"He's Just Not That Into You","$981,462"
"Paranormal Activity","$936,092"
"My Sister's Keeper","$931,721"
"Watchmen","$907,965"
"Where the Wild Things Are","$892,855"
"The Ugly Truth","$892,763"
"The Reader","$866,562"
"17 Again","$833,566"
"Public Enemies","$821,444"
"Marley and Me","$778,424"
"The Young Victoria","$757,867"
"Fame (2009)","$755,035"
"Couples Retreat","$733,363"
"Race to Witch Mountain","$698,823"
"Easy Virtue","$674,797"
"Last Chance Harvey","$640,144"
"500 Days of Summer","$626,739"
"Valkyrie","$623,910"
"The Time Traveler's Wife","$618,569"
"An Education","$601,527"
"The Princess and the Frog","$592,956"
"Surrogates","$590,531"
"Coco avant Chanel","$585,372"
"Seven Pounds","$583,337"
"The Boat That Rocked","$582,727"
"Aliens in the Attic","$559,903"
"Gran Torino","$556,699"
"Confessions of a Shopaholic","$553,700"
"A Christmas Carol (2009)","$521,597"
"The Final Destination","$514,602"
"Cloudy with a Chance of Meatballs","$501,916"
"Hotel for Dogs","$476,546"
"Zombieland","$468,424"
"Sunshine Cleaning","$461,049"
"Bride Wars","$449,187"
"The Taking of Pelham One, Two, Three","$445,131"
"Dragonball Evolution","$443,490"
"Funny People","$432,902"
"Nine","$428,256"
"Revolutionary Road","$421,583"
"Defiance","$416,049"
"Separation City","$401,470"
"Underworld: Rise of the Lycans","$393,629"
"The Boy in the Striped Pajamas","$391,600"
"The Pink Panther 2","$378,057"
"Knowing","$377,588"
"In the Loop","$351,070"
"Ghosts of Girlfriends Past","$348,771"
"State of Play","$346,878"
"I Love You Man","$340,008"
"The Invention of Lying","$326,433"
"Il y a longtemps que je t'aime (I've Loved You So Long)","$325,346"
"Coraline","$320,519"
"Transporter 3","$320,395"
"The September Issue","$318,352"
"Drag Me to Hell","$305,729"
"Paul Blart: Mall Cop","$300,010"
"Planet 51","$293,963"
"My Life in Ruins","$274,931"
"Duplicity","$267,624"
"Land of the Lost","$256,891"
"Fighting","$253,750"
"The Imaginarium of Doctor Parnassus","$248,402"
"Le Fils de l'épicier (The Grocer's Son)","$244,491"
"The International","$228,394"
"Dean Spanley","$222,382"
"Bienvenue chez les Ch'tis","$215,903"
"Doubt","$208,962"
"Zack and Miri Make a Porno","$205,123"
"Shorts","$200,661"
"Okuribito (Departures)","$197,585"
"My Bloody Valentine 3-D","$194,914"
"Bride Flight","$192,803"
"Under the Mountain","$192,258"
"12 Rounds","$184,601"
"Role Models","$176,632"
"3 Idiots","$176,577"
"Changeling","$171,641"
"The Secret Life of Bees","$165,914"
"The Strength of Water","$163,650"
"Orphan","$157,630"
"The Spirit","$151,012"
"Saw VI","$146,480"
"Notorious (2009)","$143,322"
"Séraphine","$139,752"
"The Vintner's Luck","$135,423"
"The Tale of Despereaux","$134,678"
"Milk","$134,316"
"The Women (2008)","$127,291"
"Amelia","$123,193"
"Creation","$122,624"
"Cheri","$120,949"
"Man on Wire","$120,933"
"The Wrestler","$120,201"
"Looking for Eric","$116,836"
"Is Anybody There?","$116,278"
"Stone of Destiny","$112,896"
"Friday the 13th (2009)","$111,005"
"William Shakespeare's The Merchant of Venice","$109,392"
"Chi bi (Red Cliff: Part I)","$105,488"
"Capitalism: A Love Story","$102,856"
"Gake no ue no Ponyo (Ponyo on a Cliff)","$102,388"
"Jian guo da ye (The Founding of a Republic)","$100,043"
"The Uninvited","$98,064"
"Big Stan","$97,702"
"Disgrace","$95,352"
"I Love You Beth Cooper","$93,878"
"Nordwand","$93,462"
"Samson and Delilah","$92,647"
"The Informant","$85,576"
"Dance Flick","$84,578"
"Bottle Shock","$83,264"
"Bandslam","$83,017"
"Sex Drive","$83,010"
"Moon","$82,393"
"Flammen og Citronen (Flame & Citron)","$80,132"
"Fung wan II (The Storm Warriors)","$78,106"
"Food, Inc.","$76,993"
"L'Heure d'été (Summer Hours)","$74,763"
"La Siciliana ribelle","$72,846"
"Valentino: The Last Emperor","$71,527"
"In Search of Beethoven","$69,315"
"Tosca (Met Opera Series)","$68,930"
"Le Premier jour du reste de ta vie","$67,669"
"Entre les murs (The Class)","$66,198"
"The Unborn (2009)","$64,956"
"Aida (Opera)","$61,899"
"Elegy","$60,943"
"San suk si gin (Shinjuku Incident)","$59,842"
"Love Aaj Kal","$58,084"
"Before the Rains","$56,134"
"Dil Bole Hadippa! (My Heart Goes Hooray)","$54,705"
"Mary and Max","$54,595"
"The Soloist","$52,376"
"A Film with Me in It","$49,004"
"Away We Go","$48,879"
"De Dana Dan","$46,009"
"Case 39","$45,732"
"Les Femmes de l'ombre (Female Agents)","$43,078"
"Blue (2009)","$42,827"
"Phèdre (NT Live)","$42,188"
"The Secret of Moonacre","$41,927"
"Vratné lahve","$38,680"
"Kambakkt Ishq","$36,730"
"Chandni Chowk to China","$35,366"
"A Serious Man","$35,227"
"The Escapist","$34,853"
"Jennifer's Body","$32,255"
"The Cove","$32,097"
"New York","$32,010"
"A Pain in the Ass","$31,741"
"Five Minutes of Heaven","$31,683"
"Ong bak 2","$31,041"
"Tinker Bell and the Lost Treasure","$28,653"
"Turandot (Metropolitan Opera)","$26,412"
"All's Well That Ends Well (NT Live)","$25,184"
"Tyson","$22,871"
"The Wackness","$22,527"
"Do Knot Disturb","$22,452"
"Morris: A Life with Bells On","$22,395"
"Mio fratello è figlio unico (My Brother Is an Only Child)","$22,231"
"Rachel Getting Married","$22,210"
"Ajab Prem Ki Ghazab Kahani","$21,075"
"Kurbaan","$20,476"
"London Dreams","$20,251"
"The Wizard of Oz (2009 re-issue)","$18,710"
"Jonas Brothers: The 3D Concert Experience","$18,657"
"Shi yue wei cheng (Bodyguards and Assassins)","$17,950"
"What Just Happened?","$17,816"
"Nick and Norah's Infinite Playlist","$16,906"
"Faubourg 36 (Paris 36)","$16,114"
"Accident (1967) (Re)","$15,928"
"Lesbian Vampire Killers","$15,476"
"Rocket Singh - Salesman of the Year","$15,462"
"Every Little Step","$14,428"
"Låt den rätte komma in (Let the Right One In)","$14,400"
"The Map Reader","$14,304"
"Laughing Gor","$13,703"
"Billu","$13,537"
"The Damned United","$13,337"
"[Rec] 2","$13,253"
"The Crimson Wing: Mystery of the Flamingos","$13,028"
"Spirit of the Marathon","$12,577"
"Aladin","$11,975"
"Faintheart","$11,753"
"Wake Up Sid","$11,070"
"La Sconosciuta (The Unknown Woman)","$10,079"
"Taking Woodstock","$9,650"
"What's Your Rashee?","$9,207"
"The Limits of Control","$8,788"
"Roman de gare","$8,662"
"Bustin' Down the Door","$8,563"
"Paa","$8,325"
"Adam","$8,210"
"Main Aurr Mrs. Khanna","$8,046"
"Kaminey","$7,857"
"The Cake Eaters","$7,820"
"Life Partner","$7,261"
"Luck by Chance","$7,174"
"My Year Without Sex","$7,002"
"Etz Limon (Lemon Tree)","$6,987"
"Qie ting feng yun (Wiretap) (Overheard)","$6,530"
"Delhi 6","$5,556"
"Haeundae","$5,155"
"All the Best","$4,895"
"Crank: High Voltage","$4,834"
"Musta jää (Black Ice)","$4,730"
"Adoration","$4,681"
