" Movie Title"," Gross"
"Quantum of Solace","$283,462"
"Hancock","$187,303"
"Vantage Point","$88,672"
"National Treasure: Book of Secrets","$78,254"
"10,000 B.C.","$63,740"
"Made of Honor","$57,307"
"The Game Plan","$51,857"
"The Dark Knight","$50,134"
"Iron Man","$49,724"
"The Forbidden Kingdom","$49,102"
"You Don't Mess with the Zohan","$48,541"
"What Happens in Vegas","$48,534"
"Jumper","$48,103"
"Wanted","$47,557"
"21","$44,106"
"Taken","$43,339"
"The Water Horse: Legend of the Deep","$42,655"
"High School Musical 3: Senior Year","$41,477"
"Indiana Jones and the Kingdom of the Crystal Skull","$41,357"
"Lakeview Terrace","$41,177"
"Kung Fu Panda","$40,511"
"Prom Night (2008)","$35,648"
"Mad Money","$33,859"
"27 Dresses","$33,667"
"Sex and the City","$32,828"
"Body of Lies","$32,062"
"The Mummy: Tomb of the Dragon Emperor","$30,821"
"Street Kings","$29,906"
"Eagle Eye","$29,862"
"First Sunday","$28,771"
"Bedtime Stories","$28,140"
"The Incredible Hulk","$27,915"
"Step Up 2 the Streets","$27,258"
"Get Smart","$26,485"
"The House Bunny","$26,215"
"The Day the Earth Stood Still (2008)","$24,547"
"Dr. Seuss' Horton Hears a Who!","$22,988"
"Yes Man","$22,243"
"The Chronicles of Narnia: Prince Caspian","$22,088"
"How She Move","$20,990"
"Step Brothers","$20,899"
"Righteous Kill","$20,071"
"Mamma Mia!","$20,036"
"Quarantine","$19,318"
"Max Payne","$19,265"
"Fool's Gold","$19,144"
"Nim's Island","$19,021"
"Pineapple Express","$18,845"
"Australia","$18,040"
"Gone Baby Gone","$17,204"
"Meet Dave","$16,889"
"Babylon A.D.","$16,490"
"Meet the Spartans","$15,801"
"Journey to the Center of the Earth","$15,174"
"Death Race","$15,152"
"Speed Racer","$14,862"
"88 Minutes","$14,256"
"The Bank Job","$13,699"
"Madagascar: Escape 2 Africa","$13,566"
"The Bucket List","$13,164"
"The Happening","$12,822"
"Deception (2008)","$12,806"
"Michael Clayton","$11,344"
"Singh Is Kinng","$11,189"
"Star Wars: The Clone Wars","$11,004"
"Definitely, Maybe","$10,324"
"My Best Friend's Girl","$10,065"
"Ghajini","$9,966"
"P.S. I Love You","$9,555"
"Sydney White","$9,540"
"We Own the Night","$9,432"
"The Spiderwick Chronicles","$8,684"
"Rambo","$8,453"
"Wall-E","$7,971"
"The X-Files: I Want to Believe","$7,719"
"Alien vs. Predator - Requiem","$7,568"
"Forgetting Sarah Marshall","$7,074"
"Cloverfield","$7,006"
"Mirrors","$6,961"
"Juno","$6,586"
"Hellboy II: The Golden Army","$6,526"
"Beverly Hills Chihuahua","$6,223"
"Charlie Wilson's War","$6,099"
"No Country for Old Men","$5,545"
"Untraceable","$5,385"
"Atonement","$5,159"
"Elizabeth: The Golden Age","$5,063"
"Gwoemul (The Host)","$4,893"
"Gracie","$4,267"
"Golmaal Returns","$3,008"
"Sweeney Todd: The Demon Barber of Fleet Street","$2,274"
"The Rocker","$1,590"
"D-War (Dragon Wars)","$707"
