" Movie Title"," Gross"
"Mamma Mia!","$16,759,894"
"Max Manus","$15,181,738"
"Quantum of Solace","$6,699,109"
"The Dark Knight","$6,641,010"
"Indiana Jones and the Kingdom of the Crystal Skull","$5,525,319"
"Sex and the City","$5,372,362"
"Kautokeino-opprøret","$4,879,311"
"Lange flate ballær II","$4,544,700"
"Kung Fu Panda","$3,931,576"
"The Chronicles of Narnia: Prince Caspian","$3,568,010"
"Wall-E","$3,530,411"
"Madagascar: Escape 2 Africa","$3,448,528"
"Fritt vilt II (Cold Prey 2)","$3,250,103"
"Alvin and the Chipmunks","$3,036,187"
"The Kite Runner","$2,920,322"
"Hancock","$2,664,422"
"Mannen som elsket Yngve","$2,574,471"
"High School Musical 3: Senior Year","$2,536,890"
"National Treasure: Book of Secrets","$2,519,111"
"Atonement","$2,378,670"
"Yes Man","$2,116,415"
"Den Siste revejakta","$1,988,850"
"Varg Veum - Falne engler","$1,947,443"
"Iron Man","$1,855,671"
"Dr. Seuss' Horton Hears a Who!","$1,846,025"
"S.O.S. Svartskjær","$1,839,823"
"No Country for Old Men","$1,777,456"
"What Happens in Vegas","$1,557,105"
"Fatso (Knullegutt)","$1,547,488"
"The Incredible Hulk","$1,532,085"
"Australia","$1,241,605"
"Jumper","$1,211,262"
"Lønsj (Cold Lunch)","$1,161,457"
"Wanted","$1,160,807"
"10,000 B.C.","$1,133,498"
"Rovdyr","$1,131,001"
"De Usynlige","$1,124,174"
"The Mummy: Tomb of the Dragon Emperor","$1,045,993"
"Arn - Riket vid vägens slut","$1,038,974"
"Rambo","$1,020,637"
"Tropic Thunder","$1,007,784"
"Ulvenatten (Night of the Wolf)","$961,419"
"The Happening","$930,289"
"Kurt blir grusom","$902,697"
"Sweeney Todd: The Demon Barber of Fleet Street","$897,969"
"Cloverfield","$856,867"
"Astérix aux jeux olympiques","$836,352"
"Burn After Reading","$820,849"
"Body of Lies","$761,448"
"The Tale of Despereaux","$706,063"
"The Day the Earth Stood Still (2008)","$697,453"
"There Will Be Blood","$635,858"
"Mamma Mu och kråkan","$602,755"
"Jungledyret Hugo: Fræk, flabet og fri","$597,072"
"Star Wars: The Clone Wars","$580,006"
"Wild Child","$548,800"
"Beverly Hills Chihuahua","$547,915"
"Juno","$534,026"
"De Gales hus","$527,281"
"Max Payne","$519,152"
"In the Valley of Elah","$514,322"
"Get Smart","$505,890"
"The Scorpion King","$493,101"
"Superhero Movie","$463,097"
"Hellboy II: The Golden Army","$446,478"
"Entre les murs (The Class)","$439,478"
"Vantage Point","$413,989"
"The Spiderwick Chronicles","$409,439"
"The X-Files: I Want to Believe","$400,770"
"You Don't Mess with the Zohan","$395,434"
"The Bucket List","$393,617"
"Mr. Magorium's Wonder Emporium","$381,143"
"Made of Honor","$375,950"
"P.S. I Love You","$369,768"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","$365,910"
"Charlie Wilson's War","$363,424"
"Forgetting Sarah Marshall","$352,481"
"27 Dresses","$339,715"
