" Movie Title"," Gross"
"Listy do M.","$12,605,088"
"The Smurfs","$5,254,893"
"Transformers 3","$4,208,435"
"Kung Fu Panda 2","$4,045,046"
"Rio","$3,854,491"
"Harry Potter and the Deathly Hallows (Part Two)","$3,637,088"
"Puss in Boots","$3,391,582"
"Pirates of the Caribbean: On Stranger Tides (3D)","$3,152,332"
"The Twilight Saga: Breaking Dawn Part 1","$2,956,463"
"Rise of the Planet of the Apes","$2,668,675"
"Captain America: The First Avenger","$2,388,006"
"Fast Five","$2,211,004"
"Thor","$1,970,451"
"Tangled","$1,934,530"
"Alvin and the Chipmunks: Chipwrecked","$1,888,687"
"Gulliver's Travels","$1,884,577"
"Yogi Bear","$1,815,257"
"Real Steel","$1,644,517"
"Green Lantern","$1,590,277"
"Paranormal Activity 3","$1,567,250"
"Mr. Popper's Penguins","$1,524,823"
"Zookeeper","$1,477,700"
"Final Destination 5","$1,431,099"
"Tinker, Tailor, Soldier, Spy","$1,412,265"
"Cars 2","$1,401,796"
"X-Men: First Class","$1,359,250"
"Happy Feet Two","$1,270,365"
"Mission: Impossible - Ghost Protocol","$1,245,749"
"Pokaz kotku, co masz w srodku","$1,132,727"
"The Lion King (in 3D)","$1,129,086"
"Just Go With It","$997,060"
"Rango","$985,057"
"Top Cat","$960,880"
"Battle: Los Angeles","$877,734"
"The Rite","$832,857"
"Dolphin Tale","$824,515"
"The Hangover Part II","$774,605"
"Hop","$774,000"
"No Strings Attached","$766,702"
"The Adventures of Tintin","$732,557"
"The Green Hornet","$697,553"
"Saw 3D","$688,746"
"Black Swan","$674,118"
"Horrible Bosses","$667,465"
"Crazy, Stupid, Love.","$660,660"
"Abduction","$646,768"
"Big Mommas: Like Father, Like Son","$642,257"
"Little Fockers","$641,367"
"The Tourist","$617,953"
"Gnomeo and Juliet","$613,958"
"The Rum Diary","$606,243"
"The King's Speech","$591,039"
"Tower Heist","$550,332"
"Paranômaru akutibiti: Dai-2-shô - Tokyo Night","$525,966"
"Red Riding Hood","$509,891"
"Arthur Christmas","$492,091"
"Conan the Barbarian (2011)","$484,203"
"Johnny English Reborn","$454,898"
"The Muppets","$452,610"
"Super 8","$436,670"
"Contagion","$424,960"
"Insidious","$424,063"
"Cowboys & Aliens","$404,727"
"Sammy's Adventures: The Secret Passage","$402,636"
"Dream House","$398,880"
"Unknown","$396,901"
"Bad Teacher","$393,665"
"Season of the Witch","$393,161"
"Hereafter","$391,612"
"The Three Musketeers (2011)","$384,062"
"Love and Other Drugs","$384,050"
"Scream 4","$383,887"
"New Year's Eve","$368,344"
"11-11-11","$360,060"
"Justin Bieber: Never Say Never","$356,727"
"Margin Call","$351,651"
"Limitless","$345,411"
"Source Code","$344,338"
"The Change-Up","$339,732"
"Friends with Benefits","$336,850"
"The Collector","$336,332"
"In Time","$323,554"
"Unstoppable","$294,648"
"Vertige","$281,574"
"Frozen","$281,406"
"Shark Night 3D","$276,795"
"El Guachiman (The Watchman)","$275,973"
"The Switch","$274,603"
"Sanctum (3D)","$273,077"
"Red","$268,551"
"Water for Elephants","$261,890"
"La casa muda (The Silent House)","$256,006"
"Drive Angry","$255,370"
"El Misterio Del Portal","$252,357"
"What's Your Number?","$251,836"
"Beastly","$242,861"
"The Descent: Part 2","$242,680"
"Priest","$240,591"
