" Movie Title"," Gross"
"Iron Man","$3,994,681"
"A Very Special Love","$3,836,701"
"Twilight","$3,812,947"
"The Dark Knight","$3,267,510"
"Caregiver","$3,108,225"
"For the First Time (2008)","$2,850,133"
"The Mummy: Tomb of the Dragon Emperor","$2,757,657"
"Kung Fu Panda","$2,560,515"
"My Bestfriend's Girlfriend","$2,426,782"
"Indiana Jones and the Kingdom of the Crystal Skull","$2,425,404"
"National Treasure: Book of Secrets","$2,354,779"
"10,000 B.C.","$2,182,342"
"Quantum of Solace","$2,175,414"
"Hancock","$2,147,217"
"Wanted","$2,108,304"
"The Incredible Hulk","$2,073,443"
"When Love Begins...","$2,045,900"
"Dobol Trobol: Lets Get Redi 2 Rambol! (Double Trouble)","$1,937,393"
"The Chronicles of Narnia: Prince Caspian","$1,808,650"
"Mag-ingat Ka Sa... Kulam","$1,783,109"
"Jumper","$1,722,746"
"My Big Love","$1,632,483"
"SupahPapalicious (Father and Son)","$1,595,284"
"My Only Ü","$1,585,999"
"Madagascar: Escape 2 Africa","$1,545,281"
"The Forbidden Kingdom","$1,518,110"
"I Am Legend","$1,509,056"
"High School Musical 3: Senior Year","$1,435,234"
"One True Love","$1,328,536"
"The Day the Earth Stood Still (2008)","$1,140,347"
"Eagle Eye","$987,765"
"Alien vs. Predator - Requiem","$899,937"
"Wall-E","$846,934"
"Max Payne","$775,703"
"Journey to the Center of the Earth","$755,376"
"Sex and the City","$754,116"
"Mamma Mia!","$746,565"
"Vantage Point","$723,747"
"Manay po 2: Overload","$713,437"
"Rambo","$707,739"
"Get Smart","$702,728"
"My Monster Mom","$661,652"
"Death Race","$642,433"
"Speed Racer","$638,364"
"Alvin and the Chipmunks","$629,715"
"You Don't Mess with the Zohan","$616,592"
"The Spiderwick Chronicles","$610,706"
"Babylon A.D.","$597,682"
"Bangkok Dangerous (2008)","$580,539"
"Dr. Seuss' Horton Hears a Who!","$580,089"
"Scaregivers","$576,890"
"Bolt","$564,838"
"Ikaw pa rin, bongga ka boy!","$557,212"
"What Happens in Vegas","$545,632"
"Hellboy II: The Golden Army","$545,358"
"Meet the Spartans","$538,039"
"Shutter","$512,632"
"I.T.A.L.Y. (I Trust and Love You)","$485,943"
"Step Up 2 the Streets","$462,753"
"Body of Lies","$458,918"
"The Happening","$450,303"
"27 Dresses","$437,273"
"Cloverfield","$413,374"
"Tropic Thunder","$394,934"
"Doomsday","$390,477"
"Fool's Gold","$378,451"
"D-War (Dragon Wars)","$357,099"
"The Water Horse: Legend of the Deep","$354,801"
"Made of Honor","$334,483"
"Bee Movie","$322,840"
"The X-Files: I Want to Believe","$310,879"
"Superhero Movie","$308,611"
"Quarantine","$305,137"
"Mirrors","$285,081"
"Big Stan","$281,325"
"Ploning","$278,803"
"21","$263,328"
"The Eye","$260,384"
"One Missed Call","$256,965"
"Urduja","$253,087"
"Sweeney Todd: The Demon Barber of Fleet Street","$230,499"
"Street Kings","$222,552"
"Meet Dave","$214,077"
"In the Name of the King: A Dungeon Siege Tale","$212,027"
"Passengers","$207,854"
"Star Wars: The Clone Wars","$190,307"
"Flood (2007)","$188,916"
"The Heartbreak Kid","$177,707"
"Nights in Rodanthe","$177,335"
"The Mist","$176,424"
"Righteous Kill","$174,908"
"Prom Night (2008)","$168,428"
"Four Christmases","$163,685"
"Disaster Movie","$161,542"
"The Strangers","$157,459"
"Nim's Island","$156,882"
"The Gravedancers","$156,660"
"City of Ember","$156,214"
"American Gangster","$151,381"
"The Other Boleyn Girl","$151,105"
"The House Bunny","$146,886"
"Buried Alive","$146,399"
"Semi-Pro","$144,262"
"Saw IV","$140,112"
"Over Her Dead Body","$132,339"
"Solstice","$129,933"
"Good Luck Chuck","$121,603"
"Tau ming chong (The Warlords)","$121,100"
"Loving You","$120,807"
"The Bucket List","$120,614"
"Untraceable","$119,676"
"The Bank Job","$117,779"
"Harold and Kumar Escape from Guantanamo Bay","$115,133"
"88 Minutes","$112,940"
"Mega Snake","$112,742"
"The Mutant Chronicles","$109,006"
"Make It Happen","$108,174"
"Living Hell","$107,222"
"Rogue","$106,209"
"P.S. I Love You","$98,202"
"The Flock","$95,643"
"Igor","$92,617"
"The Hottie & the Nottie","$88,068"
"Pride & Glory","$86,977"
"My Sassy Girl","$85,553"
"Burn After Reading","$83,166"
"Juno","$82,296"
"The Sisterhood of the Traveling Pants 2","$80,810"
"My Best Friend's Girl","$76,014"
"Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour","$74,922"
"Perfect Creature","$73,480"
"Dan in Real Life","$70,570"
"Atonement","$69,578"
"Pathology","$66,146"
"Ate (Older Sister)","$61,273"
"Never Back Down","$59,877"
"The Air I Breathe","$57,748"
"Torotot (2008)","$56,609"
"Asylum","$54,235"
"Sex Drive","$50,901"
"The Kite Runner","$50,894"
"I Could Never Be Your Woman","$49,597"
"Sydney White","$47,079"
"Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon)","$46,996"
"Deception (2008)","$46,321"
"3:10 to Yuma (2007)","$43,206"
"Altered","$42,026"
"The Assassination of Jesse James by the Coward Robert Ford","$41,240"
"Smother","$36,622"
"Alone (2007)","$32,507"
"No Country for Old Men","$29,552"
"Sleuth (2007)","$27,127"
"P2","$25,662"
"Kuntilanak 2","$24,331"
"Congkak","$23,449"
"Across the Universe","$21,098"
"Appaloosa","$17,768"
"Blonde Ambition","$16,538"
"Step Brothers","$16,183"
"The Women (2008)","$15,949"
"Strange Wilderness","$15,256"
"Pineapple Express","$13,069"
"Lakeview Terrace","$10,501"
"The Darjeeling Limited","$10,086"
"Half Blood Samurai","$9,869"
"RockNRolla","$9,332"
"There Will Be Blood","$8,331"
"The Savages","$8,280"
"Walk Hard: The Dewey Cox Story","$6,355"
"Grace Is Gone","$758"
