" Movie Title"," Gross"
"Shrek Forever After","$17,262,308"
"Alice in Wonderland (2010)","$7,926,017"
"Inception","$6,727,314"
"Harry Potter and the Deathly Hallows (Part One)","$6,679,851"
"Ciacho","$5,692,116"
"Tangled","$5,211,955"
"Sluby panienskie (Maiden Vows)","$5,179,068"
"Step Up 3-D","$4,633,996"
"How to Train Your Dragon","$4,569,051"
"The Twilight Saga: Eclipse","$4,341,664"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$4,237,908"
"Randka w ciemno (Blind Date)","$4,007,842"
"Sniadanie Do Lozka","$3,965,979"
"Toy Story 3","$3,876,469"
"Prince of Persia: The Sands of Time","$3,302,798"
"Disco ormene","$3,027,656"
"Robin Hood","$2,928,660"
"The Princess and the Frog","$2,890,822"
"Alvin and the Chipmunks: The Squeakquel","$2,724,821"
"The Ghost Writer","$2,637,644"
"Sherlock Holmes","$2,522,917"
"Clash of the Titans (2010)","$2,319,815"
"Sammy's Adventures: The Secret Passage","$2,229,723"
"Tron Legacy","$2,227,449"
"Saw 3D","$2,189,236"
"Despicable Me","$2,109,440"
"Salt","$1,912,727"
"Skrzydlate swinie","$1,898,456"
"Eat Pray Love","$1,895,338"
"The Sorcerer's Apprentice","$1,893,685"
"Trick (2010)","$1,847,980"
"Whatever Works","$1,824,986"
"Planet 51","$1,796,388"
"Little Fockers","$1,787,463"
"Nine","$1,714,743"
"Alpha and Omega","$1,678,642"
"The Expendables","$1,666,186"
"Resident Evil: Afterlife","$1,623,327"
"StreetDance 3D","$1,535,192"
"Due Date","$1,535,180"
"Piranha 3D","$1,532,437"
"The Last Airbender","$1,522,441"
"Red","$1,492,302"
"The Imaginarium of Doctor Parnassus","$1,444,177"
"The Social Network","$1,355,215"
"Shutter Island","$1,345,629"
"Space Dogs 3D","$1,308,603"
"The Next Three Days","$1,265,955"
"Kolysanka (Lullaby)","$1,240,743"
"Iron Man 2","$1,136,267"
"Swiety interes","$1,078,062"
"Sex and the City 2","$1,052,151"
"It's Complicated","$1,000,088"
"Predators","$991,980"
"Tinker Bell and the Great Fairy Rescue","$944,886"
"Legend of the Guardians: The Owls of Ga'Hoole","$860,041"
"Wszystko, co kocham (All That I Love)","$839,774"
"Missing Lynx (El Lince Perdido)","$833,062"
"Jackass 3-D","$818,728"
"Knight & Day","$777,205"
"Grown Ups","$776,714"
"Paranormal Activity 2","$775,725"
"The Bounty Hunter","$764,757"
"A Nightmare on Elm Street (2010)","$754,849"
"The Wolfman","$738,756"
"Life as We Know It","$696,674"
"Valentine's Day","$694,351"
"De l'autre côté du lit","$647,098"
"Wall Street: Money Never Sleeps","$640,659"
"Avatar: Special Edition","$636,534"
"Killers","$623,650"
"Furry Vengeance","$622,872"
"The Karate Kid","$614,437"
"The Lovely Bones","$612,157"
"Cats & Dogs: Revenge of Kitty Galore","$599,477"
"Percy Jackson & The Olympians: The Lightning Thief","$592,776"
"Machete","$591,627"
"Edge of Darkness","$589,007"
"Splice","$579,397"
"Going the Distance","$569,327"
"Remember Me","$566,361"
"Arthur et la vengeance de Maltazard","$528,275"
"L'arnacoeur (Heartbreaker)","$523,587"
"The Last Exorcism","$521,198"
"Brothers","$511,154"
"The A-Team","$487,420"
"The Book of Eli","$457,301"
"Let Me In","$446,406"
"Dorian Gray","$433,425"
"Hot Tub Time Machine","$411,528"
"Get Low","$407,720"
"Old Dogs","$405,259"
"The American","$401,792"
"Unstoppable","$396,910"
"Desert Flower","$394,009"
"The Descent: Part 2","$379,371"
"OceanWorld 3D","$374,538"
"The Back-Up Plan","$360,511"
"Did You Hear About the Morgans?","$358,230"
"Couples Retreat","$358,040"
"Nanny McPhee and The Big Bang","$357,890"
"A Serious Man","$346,837"
"Ondine","$343,767"
"Arthur et la guerre des deux mondes","$343,640"
"Letters to Juliet","$343,490"
"The Switch","$337,222"
"Mr. Nobody","$334,114"
"Essential Killing","$329,108"
"The Box","$280,368"
"Legion (2010)","$279,505"
"Projekt Dziecko","$274,244"
"Easy A","$267,625"
"Daybreakers","$266,997"
"Chrzest (The Christening)","$263,780"
"El Ratón Pérez 2","$239,723"
"Rózyczka","$239,380"
"Buried","$226,405"
"The Fourth Kind","$219,507"
"Fenomen","$214,209"
"Zwerbowana milosc","$207,569"
"Marmaduke","$204,964"
"The Men Who Stare at Goats","$203,005"
"She's Out of My League","$202,913"
"A Single Man","$201,340"
"New York, I Love You","$196,567"
"I Am Love","$189,594"
"Date Night","$188,569"
"I Love You, Phillip Morris","$180,875"
