" Movie Title"," Gross"
"Pirates of the Caribbean: On Stranger Tides (3D)","$4,232,686"
"The Smurfs","$4,081,681"
"Harry Potter and the Deathly Hallows (Part Two)","$3,859,876"
"Puss in Boots","$3,789,864"
"Rio","$3,688,140"
"Cars 2","$3,490,158"
"Fast Five","$3,292,264"
"The Twilight Saga: Breaking Dawn Part 1","$3,100,418"
"The Adventures of Tintin","$2,708,398"
"The Tourist","$2,696,084"
"The Hangover Part II","$2,637,630"
"Kung Fu Panda 2","$2,462,454"
"Johnny English Reborn","$2,365,061"
"Transformers 3","$2,274,967"
"The King's Speech","$2,182,740"
"Alvin and the Chipmunks: Chipwrecked","$2,093,224"
"Mission: Impossible - Ghost Protocol","$2,006,006"
"Black Swan","$1,776,937"
"Captain America: The First Avenger","$1,508,941"
"Thor","$1,355,963"
"Midnight in Paris","$1,292,447"
"Friends with Benefits","$1,226,362"
"Rango","$1,194,174"
"Just Go With It","$1,192,391"
"No Strings Attached","$1,182,594"
"Bad Teacher","$1,121,602"
"Horrible Bosses","$1,082,559"
"Super 8","$1,080,721"
"Rise of the Planet of the Apes","$1,053,935"
"Hereafter","$1,029,073"
"Gnomeo and Juliet","$994,313"
"Tower Heist","$913,887"
"New Year's Eve","$899,578"
"Yogi Bear","$898,894"
"Konferenz der Tiere (Animals United)","$878,025"
"True Grit","$858,508"
"The Tree of Life","$853,987"
"Tron Legacy","$811,479"
"In Time","$794,989"
"The Next Three Days","$789,091"
"Crazy, Stupid, Love.","$777,066"
"The Change-Up","$734,270"
"Cowboys & Aliens","$732,804"
"The Three Musketeers (2011)","$730,330"
"The Adjustment Bureau","$713,931"
"Gulliver's Travels","$691,225"
"Conan the Barbarian (2011)","$687,912"
"X-Men: First Class","$672,020"
"Love and Other Drugs","$649,950"
"Hop","$638,390"
"Contagion","$625,616"
"Arthur Christmas","$577,498"
"Hall Pass","$576,630"
"Colombiana","$567,268"
"Larry Crowne","$560,507"
"Killer Elite","$559,765"
"Bridesmaids","$547,598"
"Immortals","$536,678"
"Red Riding Hood","$519,361"
"The Rite","$504,091"
"Season of the Witch","$501,461"
"Final Destination 5","$491,438"
"Unknown","$485,588"
"Hoodwinked 2","$472,754"
"Real Steel","$471,135"
"Sanctum (3D)","$461,886"
"Mr. Popper's Penguins","$436,565"
"127 Hours","$425,503"
"Limitless","$418,250"
"Happy Feet Two","$381,809"
"The Dilemma","$376,160"
"You Will Meet a Tall Dark Stranger","$363,670"
"I Am Number Four","$362,594"
"Tropa de Elite 2 - O Inimigo Agora É Outro (Elite Squad 2)","$358,622"
"How Do You Know","$338,685"
"Zookeeper","$338,331"
"I Don't Know How She Does It","$333,146"
"A Dangerous Method","$322,536"
"Source Code","$321,967"
"Scream 4","$321,689"
"Battle: Los Angeles","$316,225"
"What's Your Number?","$315,716"
"The Lion King (in 3D)","$315,319"
"Big Mommas: Like Father, Like Son","$309,932"
"Abduction","$298,999"
"Trespass (2011)","$290,680"
"Paranormal Activity 3","$289,712"
"Dream House","$289,320"
"The Ides of March","$284,664"
"The Fighter","$279,104"
"Green Lantern","$271,932"
"One Day","$265,361"
"The Help","$261,994"
"The Rum Diary","$259,419"
"Morning Glory","$256,872"
"The Green Hornet","$253,869"
"The Mechanic","$239,354"
"Alpha and Omega","$237,831"
"Winx Club 3D: Magic Adventure","$231,785"
"Water for Elephants","$226,218"
"Drive (2011)","$215,403"
"Biutiful","$212,860"
"The Skin I Live In","$212,556"
"Miral","$211,175"
"The Lincoln Lawyer","$211,056"
"Insidious","$209,069"
"Hanna","$201,120"
"The Eagle","$194,474"
"The Beaver","$188,529"
"Sucker Punch","$187,947"
"Chloe","$185,515"
"The Conspirator","$180,932"
"Seeking Justice","$180,437"
"Something Borrowed","$174,742"
"Tinker, Tailor, Soldier, Spy","$174,653"
"Last Night","$173,152"
"Blitz","$168,452"
"Carnage (2011)","$159,291"
"Les petits mouchoirs (Little White Lies)","$155,711"
"The Thing (2011)","$153,948"
"The Debt","$150,420"
"Anonymous","$145,375"
"Chasseurs de dragons (Dragon Hunters)","$142,804"
"Arthur et la guerre des deux mondes","$138,198"
"Arthur (2011)","$131,451"
"Somewhere","$129,339"
"Pina","$126,645"
"London Boulevard","$121,934"
"Beginners","$113,576"
"Fright Night (2011)","$107,450"
"Spy Kids: All the Time in the World","$106,857"
"50/50","$103,891"
"Shark Night 3D","$98,197"
"Trust (2011)","$93,908"
"The Way Back","$92,195"
"Barney's Version","$91,540"
"Jane Eyre (2011)","$91,001"
"The Company Men","$89,744"
"Drive Angry","$88,306"
"Machine Gun Preacher","$84,728"
"Rien à déclarer (Nothing to Declare)","$81,073"
"Benvenuti al Sud","$78,304"
"Leap Year","$77,502"
"Blue Valentine","$72,303"
"Habemus Papam (We Have a Pope)","$69,997"
"There Be Dragons","$69,181"
"Winnie the Pooh","$68,002"
"Another Year","$62,510"
"Mother and Child","$61,558"
"Niko - Lentäjän poika (Niko & The Way to the Stars)","$60,761"
"Melancholia","$53,844"
"Justin Bieber: Never Say Never","$53,508"
"The Girlfriend Experience","$52,979"
"The Ward (2011)","$52,535"
"Beastly","$51,961"
"Outlander","$50,669"
"From Prada to Nada","$46,822"
"Don't Be Afraid of the Dark","$46,529"
"The Resident","$43,767"
"Winter's Bone","$42,195"
"Ironclad","$41,769"
"Restless (2011)","$40,276"
"Essential Killing","$36,315"
"Si (Poetry)","$33,992"
"Apollo 18","$33,348"
"Your Highness","$33,112"
"Secretariat","$30,070"
"Chalet Girl","$27,952"
"Copacabana","$26,878"
"Carlos","$26,503"
"The Hole (2010)","$26,185"
"Bruna Surfistinha","$23,583"
"Splice","$23,242"
"Get Low","$22,660"
"Tournée (On Tour)","$21,667"
"Dylan Dog: Dead of Night","$20,102"
"Tomorrow, When the War Began","$19,804"
"Los ojos de Julia (Julia's Eyes)","$18,948"
"Submarine","$18,178"
"Monsters","$17,801"
"Les femmes du 6ème étage","$17,708"
"Bal","$17,255"
"And Soon the Darkness","$16,680"
"Meek's Cutoff","$15,305"
"Cosa voglio di più (What More Do I Want)","$14,759"
"Incendies","$14,379"
"Budapeste","$14,313"
"Le quattro volte","$14,089"
"Les émotifs anonymes","$13,996"
"Akmareul boattda (I Saw the Devil)","$13,817"
"Casino Jack","$13,381"
"L'arnacoeur (Heartbreaker)","$13,314"
"The Strange Case of Angelica","$11,704"
"Jodaeiye Nader az Simin (A Seperation)","$11,576"
"Les bien-aimés","$11,069"
"Les aventures extraordinaires d'Adèle Blanc-Sec (The Extraordinary Adventures of Adèle Blanc-Sec)","$10,944"
"Hadewijch","$10,104"
"Made in Dagenham","$9,410"
"Joueuse","$9,342"
"Buried","$8,403"
"Whip It!","$8,341"
"Luftslottet som sprängdes (The Girl Who Kicked the Hornet's Nest)","$8,148"
"Tekken","$7,534"
"La nostra vita","$6,402"
"Hors-la-loi (Outside the Law)","$6,262"
"Carancho","$6,131"
"Angèle et Tony","$6,086"
"Camino","$5,917"
"Trolljegeren (The Troll Hunter)","$5,828"
"Tokyo!","$4,535"
"No One Knows About Persian Cats","$4,425"
"Le gamin au vélo","$4,207"
"Howl","$4,205"
"Triage","$4,159"
"The Tempest","$4,006"
"Aurora (2011)","$3,708"
"Le Petit Nicolas","$3,578"
"Valhalla Rising","$3,409"
"Chelsea on the Rocks","$3,349"
"La solitudine dei numeri primi (The Solitude of Prime Numbers)","$3,228"
"Du levande (You, the Living)","$2,911"
"Life, Above All","$2,850"
"The Good Heart","$1,727"
"Micmacs à tire-larigot","$1,617"
"Route Irish","$1,353"
"La posesión de Emma Evans","$1,087"
"Inhale","$989"
"Post Mortem","$777"
"400 Contra 1 Vai Contar a Historia do Surgimento do Comando Vermelho","$546"
