" Movie Title"," Gross"
"Avatar","$5,556,796"
"Ice Age: Dawn of the Dinosaurs","$2,318,561"
"2012","$1,656,935"
"The Final Destination","$834,859"
"Sherlock Holmes","$824,261"
"The Twilight Saga: New Moon","$739,392"
"A Christmas Carol (2009)","$656,102"
"Michael Jackson's This Is It","$643,062"
"The Proposal","$610,169"
"My Bloody Valentine 3-D","$573,262"
"Inglourious Basterds","$565,615"
"Angels & Demons","$510,808"
"The Hangover","$487,439"
"G-Force","$478,420"
"Couples Retreat","$472,375"
"Fast and Furious","$463,900"
"Harry Potter and the Half Blood Prince","$444,531"
"The Ugly Truth","$442,824"
"Yes Man","$434,875"
"The Rebound","$403,822"
"Alvin and the Chipmunks: The Squeakquel","$347,135"
"Transformers: Revenge of the Fallen","$335,498"
"Spread","$334,742"
"Terminator Salvation: The Future Begins","$309,682"
"Twilight","$293,735"
"Public Enemies","$284,541"
"Law Abiding Citizen","$270,992"
"Up","$239,644"
"Ghosts of Girlfriends Past","$231,562"
"Surrogates","$226,297"
"The Taking of Pelham One, Two, Three","$225,784"
"The Pink Panther 2","$223,376"
"Funny People","$223,375"
"Monsters Vs. Aliens","$219,974"
"The Curious Case of Benjamin Button","$211,154"
"Slumdog Millionaire","$203,030"
"G.I. Joe","$199,794"
"Australia","$195,771"
"Knowing","$195,358"
"Bad Lieutenant: Port of Call New Orleans","$194,180"
"Bride Wars","$193,660"
"He's Just Not That Into You","$188,268"
"Night at the Museum: Battle of the Smithsonian","$181,809"
"X-Men Origins: Wolverine","$178,973"
"New in Town","$173,113"
"Crank: High Voltage","$165,632"
"Watchmen","$162,159"
"Gamer (2009)","$161,646"
"17 Again","$161,374"
"The Imaginarium of Doctor Parnassus","$159,025"
"The Box","$156,342"
"Valkyrie","$154,654"
"Transporter 3","$154,503"
"Cloudy with a Chance of Meatballs","$144,093"
"The International","$139,028"
"Marley and Me","$134,915"
"Bedtime Stories","$133,871"
"State of Play","$132,224"
"Duplicity","$131,694"
"Seven Pounds","$128,697"
"Saw VI","$125,542"
"Amintiri din Epoca de Aur 1 - Tovarãºi, frumoasã e viaþa!","$125,417"
"Thick as Thieves","$124,138"
"I Love You Man","$120,952"
"Cheri","$119,328"
"Ho Ho Ho","$118,992"
"Confessions of a Shopaholic","$117,864"
"Toy Story in 3D","$115,943"
"Star Trek","$115,608"
"Changeling","$113,823"
"Brüno","$113,118"
"District 9","$111,828"
"Drag Me to Hell","$110,586"
"Easy Virtue","$107,804"
"Push","$103,687"
"Ninja Assassin","$99,888"
"Year One","$94,526"
"Le Concert (2009) (see The Concert instead)","$94,389"
"Hotel for Dogs","$93,891"
"Underworld: Rise of the Lycans","$88,122"
"The Accidental Husband","$86,183"
"Pandorum","$84,699"
"Hannah Montana The Movie","$81,654"
"Coraline","$79,498"
"Revolutionary Road","$79,345"
"The Time Traveler's Wife","$77,663"
"Zombieland","$77,234"
"Coco avant Chanel","$77,013"
"Amintiri din epoca de aur","$76,670"
"Fly Me to the Moon","$71,056"
"Paul Blart: Mall Cop","$67,307"
"Role Models","$66,660"
"Gran Torino","$66,468"
"Race to Witch Mountain","$66,363"
"Ho Ho Ho","$62,442"
"My Life in Ruins","$61,870"
"Quarantine","$61,794"
"The Unborn (2009)","$60,630"
"Inkheart","$59,387"
"The Tale of Despereaux","$59,128"
"Vicky Cristina Barcelona","$58,444"
"Battle for Terra","$57,607"
"Fighting","$56,877"
"Halloween II (2009)","$55,951"
"RockNRolla","$53,772"
"Whiteout","$50,349"
"Francesca","$48,556"
"The Reader","$48,389"
"Planet 51","$47,047"
"Orphan","$45,137"
"Death Defying Acts","$43,913"
"Julie & Julia","$42,579"
"Friday the 13th (2009)","$42,269"
"The Brothers Bloom","$41,188"
"Poliþist, adjectiv","$40,997"
"Labor Pains","$39,574"
"Babylon A.D.","$39,537"
"The Last House on the Left (2009)","$37,001"
"Punisher: War Zone","$35,911"
"Los Abrazos rotos (Broken Embraces)","$35,484"
"Call of the Wild 3D","$35,434"
"Aliens in the Attic","$34,466"
"Blonde and Blonder","$32,025"
"The Road","$28,742"
"My Sister's Keeper","$28,335"
"Everybody Wants to Be Italian","$25,953"
"Fame (2009)","$25,657"
"Tinker Bell and the Lost Treasure","$24,318"
"Frost/Nixon","$22,499"
"Franklyn","$20,115"
"The Wrestler","$19,911"
"Le Renard et l'enfant (The Fox and the Child)","$18,969"
"Weekend cu mama","$18,869"
"Arthur et la vengeance de Maltazard","$18,685"
"Milk","$18,117"
"Blood: The Last Vampire","$17,955"
"Dragonball Evolution","$15,929"
"Le Premier jour du reste de ta vie","$14,926"
"In the Electric Mist","$14,108"
"The Strangers","$11,583"
"Gomorra","$10,380"
"Che","$9,594"
"El Greco","$9,177"
"A Beautiful Life","$8,326"
"Blindness","$8,274"
