" Movie Title"," Gross"
"Carlston za Ognjenku","$634,620"
"Citulja za Eskobara (Orbituary for Escobar)","$588,186"
"Sex and the City","$446,878"
"Indiana Jones and the Kingdom of the Crystal Skull","$229,807"
"Madagascar: Escape 2 Africa","$214,338"
"Vicky Cristina Barcelona","$193,112"
"Quantum of Solace","$190,398"
"The Dark Knight","$171,844"
"Astérix aux jeux olympiques","$157,144"
"Mamma Mia!","$124,317"
"Ljubav i drugi zlocini","$116,998"
"Kung Fu Panda","$100,793"
"Turneja (The Tour)","$95,510"
"What Happens in Vegas","$93,068"
"10,000 B.C.","$91,356"
"Hancock","$88,370"
"Dr. Seuss' Horton Hears a Who!","$75,607"
"The X-Files: I Want to Believe","$74,857"
"I Am Legend","$67,556"
"Jumper","$66,946"
"The Day the Earth Stood Still (2008)","$65,881"
"Four Christmases","$63,918"
"Fool's Gold","$63,755"
"Wanted","$62,736"
"National Treasure: Book of Secrets","$61,876"
"The House Bunny","$57,173"
"The Mummy: Tomb of the Dragon Emperor","$54,247"
"American Gangster","$52,103"
"Body of Lies","$51,782"
"Alvin and the Chipmunks","$50,513"
"Max Payne","$49,499"
"The Bucket List","$49,414"
"Made of Honor","$48,610"
"Wall-E","$47,363"
"Sweeney Todd: The Demon Barber of Fleet Street","$46,303"
"Mirrors","$45,514"
"Meet Dave","$45,144"
"Love in the Time of Cholera","$45,100"
"The Chronicles of Narnia: Prince Caspian","$45,078"
"You Don't Mess with the Zohan","$44,359"
"Tropic Thunder","$43,895"
"No Country for Old Men","$43,082"
"27 Dresses","$42,220"
"High School Musical 3: Senior Year","$41,144"
"Get Smart","$40,715"
"21","$37,664"
"The Incredible Hulk","$37,372"
"Journey to the Center of the Earth","$36,386"
"Atonement","$36,037"
"Righteous Kill","$33,004"
"Nights in Rodanthe","$31,195"
"Iron Man","$30,130"
"The Women (2008)","$29,327"
"Rambo","$27,666"
"88 Minutes","$26,292"
"Charlie Wilson's War","$24,951"
"Si jie (Lust, Caution)","$24,275"
"The Happening","$24,206"
"Milos Brankovic","$23,487"
"The Spiderwick Chronicles","$21,590"
"Cloverfield","$20,142"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","$19,910"
"Pride & Glory","$19,841"
"The Darjeeling Limited","$19,482"
"Princ od papira (Paper Prince)","$19,469"
"Step Up 2 the Streets","$18,645"
"Street Kings","$18,179"
"Vantage Point","$17,985"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$17,541"
"Juno","$17,480"
"The Game Plan","$17,088"
"The Water Horse: Legend of the Deep","$16,567"
"Eastern Promises","$14,951"
"Bangkok Dangerous (2008)","$14,744"
"Eagle Eye","$13,870"
"Star Wars: The Clone Wars","$12,400"
"Death Race","$11,294"
"Joulutarina (Christmas Story)","$10,933"
"Nightwatching","$10,929"
"Deception (2008)","$10,677"
"Quarantine","$10,654"
"Le Scaphandre et le papillon (The Diving Bell and the Butterfly)","$9,398"
"Pineapple Express","$8,981"
"Senki (Shadows)","$8,545"
"Nim's Island","$7,855"
"Fados (2007)","$7,341"
"Une vieille maîtresse (The Last Mistress)","$7,181"
"La Fille coupée en deux (A Girl Cut in Two)","$7,121"
"Speed Racer","$7,024"
"Sukiyaki Western Django","$6,709"
"BRATZ","$5,857"
"Paranoid Park","$5,797"
"Sleuth (2007)","$4,788"
"Jelenin svet","$4,077"
"Gradiva (C'est Gradiva qui vous appelle)","$4,043"
"Obsluhoval jsem anglického krále (I Served the King of England)","$3,777"
"Takva","$3,743"
"Leiutajateküla Lotte","$3,671"
"La Caja","$3,564"
"Tesko je biti fin (It's Hard to Be Nice)","$3,535"
"Arctic Tale","$3,495"
"Iklimler (Cliimates)","$3,448"
"Vals Im Bashir (Waltz with Bashir)","$3,255"
"Hotel Tívoli","$2,938"
"Combien tu m'aimes?","$2,750"
"Home (2008)","$2,624"
"Jas sum od Titov Veles","$2,290"
"Fövenyóra","$2,233"
"Teah","$1,896"
"Tau ming chong (The Warlords)","$1,553"
"Hellboy II: The Golden Army","$1,389"
"Irina Palm","$1,387"
"Perfect Creature","$1,089"
"Un secret (A Secret)","$878"
"Miss Conception","$848"
"MR 73","$660"
"Good Bye Bafana","$611"
"Contre-enquête","$190"
"Jean de La Fontaine - Le défi","$104"
