" Movie Title"," Gross"
"Kung Fu Panda","$4,307,978"
"Iron Man","$3,823,968"
"The Dark Knight","$3,637,103"
"Qian bu gou yong 2 (Money No Enough 2)","$3,389,709"
"The Mummy: Tomb of the Dragon Emperor","$3,014,365"
"Indiana Jones and the Kingdom of the Crystal Skull","$2,767,630"
"Madagascar: Escape 2 Africa","$2,755,573"
"Quantum of Solace","$2,477,339"
"The Forbidden Kingdom","$2,452,436"
"Cheung Gong 7 hou (CJ7)","$2,202,941"
"Lao shi ai lao da (a.k.a. Ah Long Pte Ltd)","$2,115,640"
"The Chronicles of Narnia: Prince Caspian","$2,086,572"
"Wall-E","$2,068,674"
"Ip Man","$2,049,498"
"Hancock","$1,934,354"
"Chi bi (Red Cliff: Part I)","$1,914,725"
"The Incredible Hulk","$1,825,919"
"Bolt","$1,781,132"
"Twilight","$1,774,300"
"Wanted","$1,610,352"
"High School Musical 3: Senior Year","$1,554,970"
"Hellboy II: The Golden Army","$1,550,766"
"Jumper","$1,489,186"
"Yes Man","$1,478,018"
"Guan lan (Kung Fu Dunk)","$1,476,371"
"10,000 B.C.","$1,435,684"
"Bedtime Stories","$1,419,771"
"Get Smart","$1,411,697"
"Alien vs. Predator - Requiem","$1,331,553"
"Mamma Mia!","$1,268,140"
"Sex and the City","$1,264,495"
"You Don't Mess with the Zohan","$1,187,186"
"Eagle Eye","$1,114,586"
"The Day the Earth Stood Still (2008)","$1,111,350"
"Step Up 2 the Streets","$1,043,779"
"What Happens in Vegas","$1,036,482"
"Wa pei (Painted Skin)","$1,025,372"
"Journey to the Center of the Earth","$1,013,361"
"Dr. Seuss' Horton Hears a Who!","$953,203"
"L: Change the World","$918,600"
"Long Tor Tai (The Coffin)","$907,259"
"The Spiderwick Chronicles","$862,121"
"Tropic Thunder","$814,034"
"Saam gwok dzi gin lung se gap (Three Kingdoms: Resurrection of the Dragon)","$806,960"
"Made of Honor","$803,151"
"The Water Horse: Legend of the Deep","$793,105"
"Max Payne","$784,223"
"The House Bunny","$748,532"
