" Movie Title"," Gross"
"Harry Potter and the Deathly Hallows (Part Two)","$1,687,087"
"The Smurfs","$974,490"
"Obèanský prùkaz","$785,376"
"The Twilight Saga: Breaking Dawn Part 1","$760,674"
"Pirates of the Caribbean: On Stranger Tides (3D)","$749,402"
"Transformers 3","$673,465"
"The Hangover Part II","$661,738"
"Love (Money)","$637,750"
"Muži v nadìji","$625,818"
"Kung Fu Panda 2","$606,019"
"Cars 2","$573,275"
"Rio","$538,213"
"Puss in Boots","$517,960"
"Yogi Bear","$491,713"
"Sherlock Holmes: A Game of Shadows","$399,760"
"Sammy's Adventures: The Secret Passage","$302,050"
"Final Destination 5","$264,897"
"Fast Five","$255,724"
"Just Go With It","$233,888"
"Immortals","$233,744"
"Rango","$212,772"
"Friends with Benefits","$210,208"
"Thor","$193,658"
"New Year's Eve","$189,660"
"The Adventures of Tintin","$181,682"
"Tron Legacy","$176,596"
"Alvin and the Chipmunks: Chipwrecked","$176,164"
"The Three Musketeers (2011)","$172,481"
"Horrible Bosses","$159,373"
"Bad Teacher","$155,959"
"Gulliver's Travels","$146,797"
"Limitless","$144,128"
"The King's Speech","$140,570"
"Black Swan","$131,909"
"Johnny English Reborn","$128,859"
"Crazy, Stupid, Love.","$127,405"
"The Rite","$123,765"
"Season of the Witch","$120,550"
"Perfect Days - I ženy mají své dny","$119,172"
"Gnomeo and Juliet","$113,844"
"Arthur Christmas","$111,621"
"Mission: Impossible - Ghost Protocol","$111,526"
"Saxána a Lexikon kouzel (Little Witch on a Broomstick)","$108,991"
"The Switch","$105,211"
"In Time","$104,611"
"Rise of the Planet of the Apes","$94,943"
"Captain America: The First Avenger","$94,550"
"X-Men: First Class","$94,354"
"Lidice","$85,672"
"Battle: Los Angeles","$80,252"
"Drive Angry","$78,037"
"Priest","$64,002"
"How Do You Know","$63,285"
"Something Borrowed","$63,015"
"The Green Hornet","$61,669"
"Hall Pass","$60,183"
"Spy Kids: All the Time in the World","$59,028"
"Mr. Popper's Penguins","$58,824"
"The Way Back","$58,594"
"Source Code","$56,296"
"Paranormal Activity 3","$55,748"
"Hop","$53,998"
"Conan the Barbarian (2011)","$52,608"
"Cowboys & Aliens","$50,367"
"Burlesque","$50,190"
"Drive (2011)","$47,646"
"No Strings Attached","$47,093"
"The Rum Diary","$45,905"
"V perine (The Magical Duvet)","$42,242"
"Paul","$40,166"
"Contagion","$38,844"
"Czech-Made Man","$37,176"
"Zookeeper","$33,236"
"Killer Elite","$32,940"
"Unknown","$32,493"
"London Boulevard","$30,105"
"Winnie the Pooh","$24,066"
"Love and Other Drugs","$23,121"
"The Adjustment Bureau","$22,915"
"Sanctum (3D)","$22,642"
"Super 8","$21,590"
"Real Steel","$20,057"
"One Day","$19,954"
"Scream 4","$18,999"
"Habermann","$16,761"
"Don't Be Afraid of the Dark","$16,564"
"Water for Elephants","$15,887"
"Green Lantern","$15,617"
"Marhul'ovy ostrov (Apricot Island)","$15,211"
"Tower Heist","$15,188"
"Sucker Punch","$14,247"
"Bridesmaids","$13,919"
"Larry Crowne","$12,893"
"I Don't Know How She Does It","$12,240"
"The Darkest Hour","$12,161"
"I Am Number Four","$12,109"
"The Thing (2011)","$10,837"
"Zelezna Diera","$10,529"
"Colombiana","$5,783"
"Dom","$4,409"
