" Movie Title"," Gross"
"Alvin and the Chipmunks: The Squeakquel","$576,300"
"Little Fockers","$518,587"
"Harry Potter and the Deathly Hallows (Part One)","$416,863"
"Eat Pray Love","$386,410"
"Despicable Me","$362,636"
"Shrek Forever After","$358,751"
"Inception","$358,652"
"How to Train Your Dragon","$347,028"
"The Twilight Saga: Eclipse","$329,475"
"Robin Hood","$327,167"
"Saw 3D","$313,423"
"Sherlock Holmes","$261,903"
"Grown Ups","$251,066"
"Valentine's Day","$246,792"
"Toy Story 3","$234,447"
"Due Date","$230,944"
"Knight & Day","$230,562"
"Step Up 3-D","$227,845"
"Clash of the Titans (2010)","$220,122"
"The Bounty Hunter","$217,357"
"Sex and the City 2","$206,549"
"Shutter Island","$190,246"
"Life as We Know It","$189,457"
"Salt","$181,929"
"The Last Airbender","$179,326"
"Megamind","$177,852"
"Dinner for Schmucks","$173,663"
"Alice in Wonderland (2010)","$171,221"
"Leap Year","$163,068"
"The Chronicles of Narnia: The Voyage of the Dawn Treader","$161,059"
"The Social Network","$153,204"
"The Back-Up Plan","$151,577"
"The Sorcerer's Apprentice","$147,564"
"She's Out of My League","$145,145"
"Get Him to the Greek","$140,899"
"Prince of Persia: The Sands of Time","$129,612"
"The Expendables","$128,090"
"The Wolfman","$127,464"
"Marmaduke","$125,528"
"Up in the Air","$125,379"
"Iron Man 2","$122,290"
"The Karate Kid","$120,832"
"Did You Hear About the Morgans?","$117,342"
"The Princess and the Frog","$115,260"
"The Other Guys","$110,987"
"Tron Legacy","$102,880"
"When in Rome","$92,940"
"Killers","$91,993"
"You Again","$91,973"
"Resident Evil: Afterlife","$90,699"
"The Book of Eli","$90,552"
"Going the Distance","$88,262"
"Paranormal Activity 2","$87,515"
"Easy A","$80,862"
"The Men Who Stare at Goats","$74,580"
"Cloudy with a Chance of Meatballs","$73,067"
"Devil","$70,951"
"Remember Me","$65,975"
"Cats & Dogs: Revenge of Kitty Galore","$64,045"
"Predators","$63,918"
"A Nightmare on Elm Street (2010)","$60,044"
"The A-Team","$58,921"
"Law Abiding Citizen","$58,433"
"Green Zone","$58,433"
"The Switch","$51,404"
"Wall Street: Money Never Sleeps","$51,037"
"Machete","$49,648"
"Nine","$48,920"
"Percy Jackson & The Olympians: The Lightning Thief","$47,562"
"Legend of the Guardians: The Owls of Ga'Hoole","$46,889"
"Invictus","$44,070"
"The Hurt Locker","$39,408"
"The Kings of Mykonos: Wog Boy 2","$32,023"
"Triage","$31,456"
"Legion (2010)","$29,471"
"Edge of Darkness","$27,536"
"Charlie St. Cloud","$26,102"
"The American","$24,725"
"Letters to Juliet","$23,583"
"The Other Man","$23,191"
"L'arnacoeur (Heartbreaker)","$21,679"
"Frozen","$21,212"
"Chatroom","$21,019"
"Daybreakers","$20,803"
"Scott Pilgrim vs. the World","$20,495"
"Gamer (2009)","$19,952"
"Tamara Drewe","$18,652"
"Mother and Child","$18,531"
"The Crazies","$17,928"
"The Romantics","$16,453"
"Red","$14,336"
"The Lovely Bones","$13,243"
"Splice","$12,923"
"Bad Lieutenant: Port of Call New Orleans","$11,381"
"An Education","$9,492"
"Sin Nombre","$9,309"
"A Serious Man","$7,920"
"Everybody's Fine","$5,156"
