" Movie Title"," Gross"
"The Twilight Saga: Breaking Dawn Part 1","$3,898,762"
"The Smurfs","$3,839,507"
"Pirates of the Caribbean: On Stranger Tides (3D)","$3,651,559"
"Tangled","$3,090,371"
"Transformers 3","$2,994,532"
"Rio","$2,942,794"
"Kung Fu Panda 2","$2,920,855"
"Fast Five","$2,686,639"
"The Hangover Part II","$2,648,601"
"Puss in Boots","$2,620,014"
"Harry Potter and the Deathly Hallows (Part Two)","$2,611,417"
"Just Go With It","$2,534,937"
"Cars 2","$2,425,763"
"The Tourist","$2,285,093"
"Thor","$2,009,016"
"Mission: Impossible - Ghost Protocol","$1,954,065"
"Johnny English Reborn","$1,857,743"
"The Adventures of Tintin","$1,694,833"
"Alvin and the Chipmunks: Chipwrecked","$1,444,923"
"Rango","$1,408,931"
"Jock","$1,393,520"
"The King's Speech","$1,392,993"
"Big Mommas: Like Father, Like Son","$1,352,084"
"Sherlock Holmes: A Game of Shadows","$1,324,948"
"Zookeeper","$1,236,193"
"New Year's Eve","$1,231,475"
"Gnomeo and Juliet","$1,229,164"
"Horrible Bosses","$1,191,108"
"No Strings Attached","$1,160,279"
"Tower Heist","$1,151,813"
"X-Men: First Class","$1,151,613"
"Friends with Benefits","$1,092,166"
"Real Steel","$1,043,997"
"Captain America: The First Avenger","$1,041,847"
"Platteland","$1,027,647"
"Hop","$1,004,056"
"Gulliver's Travels","$1,001,891"
"Unknown","$974,313"
"Limitless","$968,463"
"Happy Feet Two","$955,047"
"Green Lantern","$947,398"
"Crazy, Stupid, Love.","$874,411"
"Bridesmaids","$859,447"
"Mr. Popper's Penguins","$850,958"
"Tyler Perry's Madea's Big Happy Family","$815,531"
"Black Swan","$758,581"
"I Am Number Four","$728,291"
"Bad Teacher","$709,766"
"Immortals","$699,240"
"The Green Hornet","$698,249"
"Red Riding Hood","$674,904"
"The Mechanic","$658,268"
"Something Borrowed","$653,369"
"The Next Three Days","$648,787"
"The Lion King (in 3D)","$646,649"
"Spy Kids: All the Time in the World","$620,545"
"Love and Other Drugs","$615,954"
"Final Destination 5","$612,925"
"Abduction","$593,505"
"Burlesque","$577,110"
"Cowboys & Aliens","$553,559"
"How Do You Know","$546,914"
"The Change-Up","$528,663"
"Rise of the Planet of the Apes","$519,096"
"Arthur (2011)","$517,670"
"Honey 2","$497,705"
"Arthur Christmas","$494,313"
"Hoofmeisie","$488,689"
"Morning Glory","$472,412"
"The Lincoln Lawyer","$458,642"
"The Three Musketeers (2011)","$452,619"
"I Don't Know How She Does It","$451,336"
"Water for Elephants","$426,138"
"Hall Pass","$424,450"
"Monte Carlo","$394,941"
"Jumping the Broom","$381,653"
"Super 8","$375,189"
"Source Code","$371,142"
"Beastly","$366,220"
"Easy A","$357,211"
"The Adjustment Bureau","$347,424"
"Scream 4","$347,353"
"Roepman","$341,660"
"In Time","$337,202"
"Conan the Barbarian (2011)","$328,783"
"The Dilemma","$324,138"
"Colombiana","$317,382"
"Larry Crowne","$314,301"
"Paradise Stop","$303,702"
"The Help","$302,077"
"What's Your Number?","$268,135"
"Saw 3D","$268,032"
"Contagion","$265,501"
"One Day","$265,471"
"Killer Elite","$252,085"
"Justin Bieber: Never Say Never","$250,849"
"Jane Eyre (2011)","$248,379"
"For Colored Girls","$234,633"
"Le concert (2009)","$228,835"
"Battle: Los Angeles","$219,643"
"How to Steal 2 Million","$215,791"
"Don 2","$212,978"
"Priest","$210,410"
"Getroud met rugby","$208,531"
"Konferenz der Tiere (Animals United)","$205,026"
"Paranormal Activity 3","$204,912"
"True Grit","$200,198"
"The Fighter","$195,761"
"Sucker Punch","$186,626"
"Midnight in Paris","$186,281"
"The Ides of March","$185,619"
"Mars Needs Moms","$177,128"
"The Rite","$172,448"
"The Bang Bang Club","$172,097"
"Ek Joke Net","$170,432"
"All Good Things","$166,782"
"Fair Game (2010)","$156,254"
"Secretariat","$151,024"
"Drive (2011)","$150,447"
"The Eagle","$147,268"
"Winnie the Pooh","$144,682"
"Hoodwinked 2","$142,617"
"Hanna","$142,528"
"Moneyball","$142,092"
"Shark Night 3D","$138,774"
"Love, Wedding, Marriage","$137,015"
"The Roommate","$130,932"
"Bodyguard","$124,140"
"From Prada to Nada","$117,615"
"Made in Dagenham","$117,007"
"Hereafter","$116,507"
"127 Hours","$115,189"
"Soul Surfer","$111,016"
"Season of the Witch","$96,904"
"Fright Night (2011)","$90,415"
"Dream House","$89,661"
"Superhelde","$89,012"
"The Resident","$88,056"
"The Way Back","$87,083"
"The First Grader","$81,908"
"Tomorrow, When the War Began","$77,996"
"Your Highness","$77,355"
"Don't Be Afraid of the Dark","$75,692"
"Insidious","$74,988"
"The Conspirator","$74,626"
"Splice","$71,812"
"Ek Lief Jou","$68,973"
"Sammy's Adventures: The Secret Passage","$68,795"
"Warrior","$68,269"
"The Warrior's Way","$68,143"
"London Boulevard","$65,483"
"Anonymous","$64,968"
"Skeem","$63,807"
"Another Year","$62,237"
"Conviction","$60,130"
"Diary of a Wimpy Kid: Rodrick Rules","$56,568"
"Prom","$53,656"
"Black Butterflies","$53,640"
"The Tree of Life","$48,557"
"Beginners","$44,063"
"Sanctum (3D)","$43,593"
"Barney's Version","$41,280"
"African Cats","$40,059"
"Shanghai","$37,379"
"N Saak Van Geloof","$35,790"
"Biutiful","$31,938"
"Get Low","$29,882"
"Win Win","$29,347"
"50/50","$29,111"
"Never Let Me Go","$28,012"
"Des hommes et des dieux (Of Gods and Men)","$27,544"
"Blue Valentine","$27,214"
"Rabbit Hole","$26,903"
"Everything Must Go","$26,862"
"Straw Dogs (2010)","$23,715"
"Night Drive","$23,458"
"Chalet Girl","$19,799"
"Apollo 18","$17,765"
"Ceremony","$17,669"
"Dum Maaro Dum","$16,839"
"Somewhere","$16,311"
"Tamara Drewe","$16,154"
"Game (2011)","$15,817"
"Skyline","$14,856"
"Viva Riva!","$14,788"
"Let Me In","$14,058"
"Retribution (2011)","$13,780"
