" Movie Title"," Gross"
"Indiana Jones and the Kingdom of the Crystal Skull","$32,751,799"
"Hancock","$26,259,302"
"Kung Fu Panda","$21,736,799"
"Madagascar: Escape 2 Africa","$20,426,689"
"Mamma Mia!","$19,529,262"
"The Mummy: Tomb of the Dragon Emperor","$18,965,712"
"The Dark Knight","$16,318,208"
"Twilight","$16,175,300"
"Australia","$15,206,346"
"The Chronicles of Narnia: Prince Caspian","$15,002,021"
"Wall-E","$14,973,097"
"The Boy in the Striped Pajamas","$13,315,890"
"10,000 B.C.","$13,119,769"
"High School Musical 3: Senior Year","$12,680,857"
"The Oxford Murders","$12,525,441"
"Iron Man","$12,030,026"
"Quantum of Solace","$12,029,112"
"Mortadelo y Filemón. Misión: Salvar la Tierra","$11,945,068"
"What Happens in Vegas","$11,868,763"
"Changeling","$11,683,293"
"Dr. Seuss' Horton Hears a Who!","$11,058,226"
"Bolt","$10,972,787"
"No Country for Old Men","$10,785,575"
"You Don't Mess with the Zohan","$10,312,404"
"Jumper","$9,933,972"
"Burn After Reading","$9,899,325"
"Vicky Cristina Barcelona","$9,862,445"
"The Argentine (Che: Part One)","$9,794,107"
"Journey to the Center of the Earth","$9,781,687"
"Sex and the City","$9,740,001"
"The Happening","$9,690,746"
"Astérix aux jeux olympiques","$9,181,000"
"The Day the Earth Stood Still (2008)","$8,168,883"
"Juno","$7,962,730"
"Fuera de carta","$7,819,057"
"The Incredible Hulk","$7,693,842"
"Body of Lies","$7,558,975"
"Wanted","$7,126,878"
"21","$6,840,432"
"Hellboy II: The Golden Army","$6,647,483"
"Vantage Point","$6,578,759"
"Meet the Spartans","$6,542,138"
"Made of Honor","$6,390,277"
"27 Dresses","$6,377,486"
"Atonement","$6,145,095"
"The Game Plan","$6,016,924"
"Yes Man","$5,972,772"
"The Other Boleyn Girl","$5,861,510"
"Los Girasoles ciegos","$5,744,412"
"The Bucket List","$5,682,938"
"The Spiderwick Chronicles","$5,534,589"
"Taken","$5,464,669"
"Saw V","$5,380,130"
"Rambo","$5,323,543"
"Get Smart","$5,273,100"
"Mirrors","$5,145,244"
"Sweeney Todd: The Demon Barber of Fleet Street","$5,144,278"
"Alien vs. Predator - Requiem","$4,561,458"
"Charlie Wilson's War","$4,300,052"
"Righteous Kill","$4,209,120"
"Love in the Time of Cholera","$4,202,408"
"Street Kings","$4,152,039"
"30 Days of Night","$4,113,870"
"Nim's Island","$4,006,848"
"Nights in Rodanthe","$3,985,032"
"The Tale of Despereaux","$3,948,152"
"88 Minutes","$3,919,422"
"Elegy","$3,914,620"
"Die Fälscher (The Counterfeiters)","$3,871,085"
"P.S. I Love You","$3,854,100"
"Shutter","$3,782,211"
"We Own the Night","$3,742,720"
"Cloverfield","$3,722,223"
"The Forbidden Kingdom","$3,683,549"
"Before the Devil Knows You're Dead","$3,620,899"
"Bangkok Dangerous (2008)","$3,611,432"
"The Mist","$3,502,124"
"The Water Horse: Legend of the Deep","$3,438,882"
"The Strangers","$3,345,047"
"Gomorra","$3,282,402"
"Step Up 2 the Streets","$3,223,112"
"Disaster Movie","$3,218,390"
"Max Payne","$3,193,586"
"The X-Files: I Want to Believe","$3,066,134"
"In the Valley of Elah","$3,046,512"
"Transsiberian","$2,997,144"
"Fool's Gold","$2,959,860"
"Tropic Thunder","$2,903,103"
"The Spirit","$2,877,313"
"The Eye","$2,864,484"
"Death Defying Acts","$2,839,345"
"La Conjura de El Escorial","$2,784,297"
"Appaloosa","$2,748,823"
"Meet Dave","$2,745,239"
"Dan in Real Life","$2,706,563"
"Babylon A.D.","$2,692,463"
"Outlander","$2,685,324"
"Death Race","$2,559,223"
"Forgetting Sarah Marshall","$2,542,955"
"Bella","$2,507,983"
"Halloween (2007)","$2,454,513"
"There Will Be Blood","$2,415,805"
"Eagle Eye","$2,260,670"
"Camino","$2,150,273"
"One Missed Call","$2,119,000"
"The House Bunny","$2,101,614"
"Carlitos y el campo de los sueños","$2,064,565"
"Speed Racer","$2,048,700"
"Silk","$2,029,874"
"Space Chimps","$1,925,652"
"Untraceable","$1,893,655"
"The Contract","$1,885,696"
"Sukkar banat (Caramel)","$1,848,875"
"Prom Night (2008)","$1,848,662"
"The Kite Runner","$1,842,916"
"Superhero Movie","$1,799,804"
"The Darjeeling Limited","$1,735,972"
"My Best Friend's Girl","$1,730,906"
"The Hunting Party","$1,708,436"
"Die Welle (The Wave)","$1,683,775"
"Star Wars: The Clone Wars","$1,673,412"
"Never Back Down","$1,628,270"
"3:10 to Yuma (2007)","$1,599,433"
"Una Palabra tuya","$1,573,444"
"Diario de una ninfómana","$1,572,535"
"The Children of Huang Shi","$1,572,390"
"Cobardes","$1,528,988"
"Eskalofrío","$1,514,915"
"Awake","$1,513,431"
"Step Brothers","$1,504,766"
"Sólo quiero caminar","$1,488,707"
"Missing Lynx (El Lince Perdido)","$1,445,936"
"Casual Day","$1,405,814"
"8 citas","$1,354,462"
"Rendition","$1,350,950"
"Four Christmases","$1,350,701"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","$1,340,082"
"My Mom's New Boyfriend (a.k.a. Homeland Security)","$1,324,291"
"Mongol","$1,290,566"
"Death Sentence","$1,263,144"
"Todos estamos invitados","$1,251,557"
"Spirit of the Forest","$1,246,516"
"In Bruges","$1,227,138"
"Brideshead Revisited","$1,215,600"
"A Thousand Good Years of Prayers","$1,163,809"
"My Blueberry Nights","$1,160,112"
"The Women (2008)","$1,135,949"
"El Ratón Pérez 2","$1,120,819"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$1,063,172"
"The Ugly Duckling and Me!","$1,034,649"
"Sangre de mayo","$1,020,203"
"Rivales","$1,019,451"
"The Savages","$989,819"
"The Last Mimzy","$985,263"
"Leatherheads","$934,847"
"Lissi und der wilde Kaiser","$922,955"
"Funny Games","$878,081"
"Emotional Arithmetic","$867,310"
"Harold and Kumar Escape from Guantanamo Bay","$865,124"
"Rise: Blood Hunter","$823,623"
"The Ruins","$786,832"
"Joulutarina (Christmas Story)","$785,040"
"Into the Wild","$782,821"
"Franklin et le trésor du lac","$766,086"
"Virgin Territory","$753,741"
"This Is England","$739,369"
"Gente de mala calidad","$735,897"
"O Jerusalem","$723,419"
"Il y a longtemps que je t'aime (I've Loved You So Long)","$720,566"
"Miss Pettigrew Lives for a Day","$708,956"
"P2","$705,835"
"Enfin veuve","$703,093"
"Tropa de Elite (Elite Squad)","$700,810"
"El Greco","$674,095"
"Deux jours à tuer","$650,541"
"Obsluhoval jsem anglického krále (I Served the King of England)","$621,209"
"Whisper","$616,357"
"Perfect Creature","$614,729"
"Happy-Go-Lucky","$605,645"
"Le Renard et l'enfant (The Fox and the Child)","$600,938"
"Kilómetro 31","$597,338"
"La Buena nueva","$577,175"
"Le Fils de l'épicier (The Grocer's Son)","$570,041"
"It's a Free World...","$565,458"
"Be Kind, Rewind","$561,516"
"Etz Limon (Lemon Tree)","$548,354"
"L'Heure d'été (Summer Hours)","$535,824"
"Caos calmo (Quiet Chaos)","$529,427"
"Passengers","$512,075"
"Saint-Jacques... La mecque","$497,000"
"La Fille coupée en deux (A Girl Cut in Two)","$493,500"
"Buda as sharm foru rikht","$489,438"
"Butterfly on a Wheel","$482,919"
"El Cuerno de la abundancia","$478,670"
"Bikur Ha-Tizmoret (The Band's Visit)","$462,560"
"Winx club - Il segreto del regno perduto (Winx Club: The Secret of the Lost Kingdom)","$459,738"
"Que parezca un accidente","$450,807"
"Mad Money","$447,339"
"In Search of a Midnight Kiss","$439,808"
"Drillbit Taylor","$438,312"
"The Air I Breathe","$434,009"
"Los Años desnudos","$431,291"
"U2 3D","$429,856"
"Die Herbstzeitlosen","$416,081"
"De Fortabte sjæles ø","$408,900"
"Rennschwein Rudi Rüssel 2 - Rudi rennt wieder!","$407,216"
"Lo Mejor de mí","$401,227"
"El Patio de mi cárcel","$395,442"
"Der Letzte Zug","$393,527"
"Los Cronocrímenes (Timecrimes)","$389,919"
"Mocland, La Leyenda del Aloma","$387,076"
"L'Âge des ténèbres","$380,203"
"Sexykiller, morirás por ella","$377,401"
"Tim Burton's The Nightmare Before Christmas in 3-D (2008 re-issue)","$369,002"
"El Último justo","$368,925"
