" Movie Title"," Gross"
"Arn - Tempelriddaren","$15,599,053"
"Pirates of the Caribbean: At World's End","$11,655,071"
"Harry Potter and the Order of the Phoenix","$10,357,428"
"Ratatouille","$8,372,846"
"Spider-Man 3","$5,930,501"
"Shrek the Third","$5,829,041"
"The Simpsons Movie","$5,541,961"
"The Golden Compass","$4,504,480"
"Live Free or Die Hard","$3,674,563"
"Bee Movie","$3,555,177"
"Night at the Museum","$3,542,041"
"Transformers","$3,385,777"
"The Departed","$3,220,260"
"Enchanted","$3,131,449"
"Se upp för dårarna","$3,015,008"
"Ocean's Thirteen","$2,970,946"
"Solstorm","$2,714,992"
"The Queen","$2,440,673"
"The Bourne Ultimatum","$2,402,732"
"Mr. Bean's Holiday","$2,299,635"
"Underbar och älskad av alla (och på jobbet går det också bra)","$2,221,447"
"Rosa: The Movie","$1,940,300"
"American Gangster","$1,873,720"
"Stardust","$1,612,940"
"300","$1,588,268"
"Superbad","$1,487,330"
"Rush Hour 3","$1,439,343"
"This Is England","$1,375,066"
"Beck: Den Svaga Lanken","$1,357,257"
"La Môme (La Vie en Rose)","$1,293,058"
"1408","$1,263,915"
"Blood Diamond","$1,194,275"
"Knocked Up","$1,115,091"
"Hairspray (2007)","$1,085,727"
"Music and Lyrics","$1,068,877"
"Ett Öga rött","$1,040,529"
"The Heartbreak Kid","$1,020,366"
"Wild Hogs","$997,971"
"Nina Frisk","$962,698"
"Surf's Up","$913,230"
"Saw IV","$873,510"
"Lilla spöket Laban: Spökdags","$860,176"
"Zodiac","$854,468"
"I Now Pronounce You Chuck and Larry","$849,271"
"Linas kvällsbok","$820,238"
"Apocalypto","$781,692"
"Resident Evil: Extinction","$748,670"
"Ciao Bella","$725,567"
"Blades of Glory","$717,097"
"The Darjeeling Limited","$716,107"
"El Laberinto del Fauno (Pan's Labyrinth)","$673,999"
"Michael Clayton","$673,645"
"Elizabeth: The Golden Age","$670,901"
"The Kingdom","$668,113"
"Beowulf","$637,086"
"Meet the Robinsons","$620,241"
"Ensemble, c'est tout (Hunting and Gathering)","$618,798"
"Hannibal Rising","$607,306"
"TMNT","$596,327"
"The Last King of Scotland","$555,547"
"Arthur et les Minimoys (Arthur and the Invisibles)","$552,230"
"Ghost Rider","$544,619"
"Fantastic Four: Rise of the Silver Surfer","$544,110"
"The Pursuit of Happyness","$541,414"
"Epic Movie","$541,325"
"Eastern Promises","$528,575"
"Rocky Balboa","$520,237"
"The Number 23","$519,000"
"2 Days in Paris","$517,304"
"Sunshine","$467,210"
"Grindhouse: Death Proof","$448,932"
"Evan Almighty","$438,623"
"Shooter","$431,425"
"The Black Pimpernel","$420,161"
"Fracture","$410,400"
"Good Luck Chuck","$404,026"
"Elias og kongeskipet","$389,238"
"Perfume - The Story of a Murderer","$385,625"
"Järnets änglar","$384,010"
"Barnyard: The Original Party Animals","$382,427"
"Cassandra's Dream","$372,838"
"Hot Fuzz","$366,862"
"Dreamgirls","$364,100"
"Auf der anderen Seite (Yasamin kiyisinda) (The Edge of Heaven)","$362,380"
"No Reservations","$358,361"
"Black Island Sisters","$352,494"
"Leo (2007)","$340,823"
"Disturbia","$340,187"
"Irene Huss: Tatuerad torso","$309,922"
"Sicko","$298,270"
"Reign Over Me","$297,109"
"Charlotte's Web","$279,506"
"28 Weeks Later","$273,143"
"Allt om min buske","$272,099"
"Hostel Part II","$257,621"
"Gangster (2007)","$246,516"
"The Good Shepherd","$240,426"
"Direktøren for det hele (Boss of It All)","$230,959"
"4 luni, 3 saptamâni si 2 zile (4 Months, 3 Weeks, 2 Days)","$230,455"
"Den man älskar","$223,879"
"Mr. Woodcock","$221,754"
"Lions for Lambs","$215,310"
"Death at a Funeral","$205,984"
"Du levande (You, the Living)","$205,304"
"Perfect Stranger","$203,457"
"Norbit","$203,332"
"Next","$196,525"
"Becoming Jane","$190,578"
"Darling (2007)","$169,627"
"Mr. Brooks","$169,569"
"Notes on a Scandal","$168,341"
"The Jane Austen Book Club","$167,531"
"Hata Goteborg","$156,051"
"Alpha Dog","$154,920"
"Bridge to Terabithia","$153,858"
"The Reaping","$142,524"
"Tenacious D in: The Pick of Destiny","$139,626"
"Daddy Day Camp","$133,826"
"Smokin' Aces","$131,168"
"Jindabyne","$121,541"
"Lady Chatterley","$116,680"
"Frágiles (Fragile)","$110,906"
"The Assassination of Jesse James by the Coward Robert Ford","$108,684"
"Tonari no Totoro (My Neighbor Totoro)","$99,735"
"Bikur Ha-Tizmoret (The Band's Visit)","$96,914"
"The Brave One","$95,128"
"Grindhouse: Planet Terror","$91,694"
"Evening","$91,522"
"Ne le dis à personne (Tell No One)","$89,582"
"Majo no takkyûbin (Kiki's Delivery Service)","$89,566"
"Curse of the Golden Flower (Man cheng jin dai huang jin jia)","$89,117"
"The Magic Flute","$87,026"
"A Mighty Heart","$86,848"
"Stomp the Yard","$84,496"
"Mon meilleur ami (My Best Friend)","$81,585"
"Pirret","$77,608"
"Kid Svensk","$77,410"
"Premonition","$69,801"
"The Hoax","$66,689"
"Because I Said So","$66,406"
"Sleuth (2007)","$64,811"
"An American Crime","$61,261"
"Inland Empire","$57,870"
"Persepolis","$56,376"
"The Fountain","$53,407"
"La Tourneuse de pages (The Page Turner)","$52,311"
"Izgnanie (The Banishment)","$50,458"
"Black Sheep (2007)","$46,977"
"Venus","$45,850"
"Freedom Writers","$44,696"
"Good Bye Bafana","$42,654"
"Sanxia haoren (Still Life)","$36,690"
"Nancy Drew","$33,485"
"The Last Mimzy","$28,771"
"Fyra fruar och en man","$24,472"
"Vikaren (The Substitute)","$21,786"
"The Walker","$20,802"
"Shoot 'Em Up","$20,665"
"Breaking and Entering","$19,883"
"The Illusionist","$18,828"
"Breach","$13,663"
"Reno 911!: Miami","$13,593"
"Black Snake Moan","$13,154"
"All the King's Men","$12,286"
"Snuttefilm","$11,029"
"Emmas Glück","$10,851"
"Hors de prix (Priceless)","$10,578"
"Dnevnoy dozor (Day Watch)","$10,417"
"Det svider i hjärtat","$9,861"
"Waitress","$9,471"
"Goya's Ghosts","$9,165"
"Death of a President","$8,348"
"L'Avocat de la terreur (Terror's Advocate)","$8,068"
"L'Ivresse du pouvoir (Comedy of Power)","$6,620"
"The Secret Life of Words","$6,580"
"A Guide to Recognizing Your Saints","$6,473"
"The Hitcher (2007)","$5,909"
"Anche libero va bene","$5,767"
"Mala Noche (1985) (Re)","$5,342"
"The Invasion","$5,219"
"Le Serpent","$5,187"
"Hot Rod","$4,821"
"The Cats of Mirikitani","$4,468"
"Firehouse Dog","$3,955"
"Interview","$3,474"
"The Lookout","$3,072"
"License to Wed","$2,572"
"Blindsight","$2,235"
"London to Brighton","$1,821"
"Cashback","$1,777"
"Trigger","$1,757"
"Miss Potter","$1,650"
"Daisy Diamond","$1,107"
"Hao da yi dui yang","$1,077"
"Hei yan quan (I Don't Want to Sleep Alone)","$760"
"Ett Hederligt Arbete","$625"
"The Seeker: The Dark Is Rising","$530"
