" Movie Title"," Gross"
"Transformers 3","$37,667,064"
"You Are the Apple of My Eye","$17,925,128"
"Harry Potter and the Deathly Hallows (Part Two)","$14,539,174"
"Fast Five","$11,819,218"
"Pirates of the Caribbean: On Stranger Tides (3D)","$8,589,434"
"Rise of the Planet of the Apes","$6,521,982"
"Captain America: The First Avenger","$6,322,666"
"Thor","$5,830,415"
"Final Destination 5","$5,657,722"
"Seediq Bale","$4,145,778"
"The Green Hornet","$4,065,644"
"X-Men: First Class","$3,881,629"
"Kung Fu Panda 2","$3,721,561"
"Jump Ashin!","$3,644,507"
"Mr. Popper's Penguins","$3,544,766"
"Source Code","$2,916,077"
"The Hangover Part II","$2,823,033"
"Black Swan","$2,789,220"
"Cars 2","$2,655,049"
"The Killer Who Never Kills","$2,402,558"
"One Day","$2,341,645"
"Just Go With It","$2,257,650"
"Sanctum (3D)","$2,121,132"
"3D Sex and Zen: Extreme Ecstasy","$2,098,242"
"Unknown","$1,834,452"
"I Am Number Four","$1,678,477"
"The King's Speech","$1,670,607"
"The Adjustment Bureau","$1,654,069"
"Super 8","$1,647,007"
"Battle: Los Angeles","$1,545,397"
"Horrible Bosses","$1,515,727"
"Limitless","$1,493,095"
"Green Lantern","$1,385,482"
"Wu Xia (Dragon)","$1,310,156"
"No Strings Attached","$1,281,833"
"Rio","$1,229,626"
"Cowboys & Aliens","$1,229,274"
"The Smurfs","$1,124,933"
"Sucker Punch","$1,025,083"
"The Mechanic","$913,993"
"Priest","$871,130"
"Gulliver's Travels","$866,863"
"Little Fockers","$862,732"
"Meitantei Conan: Chinmoku no kuôtâ (Detective Conan: Quarter of Silence)","$842,780"
"Ladda Land","$817,917"
"Red Riding Hood","$768,836"
"Tangled","$764,794"
"The Borrowers (Kari-gurashi no Arietti)","$695,973"
"Shaolin Temple","$693,491"
"Zookeeper","$638,066"
"The Rite","$634,857"
"Guan yun chang (The Lost Bladesman)","$608,283"
"Gnomeo and Juliet","$582,163"
"Water for Elephants","$555,311"
"The Lincoln Lawyer","$537,949"
"Insidious","$526,335"
"Blitz","$515,913"
"Beastly","$414,283"
"Conan the Barbarian (2011)","$408,854"
"Rango","$405,387"
"Midnight in Paris","$396,782"
"127 Hours","$374,441"
"The Tree of Life","$350,927"
"Hereafter","$334,165"
"Scream 4","$320,220"
"Larry Crowne","$296,727"
"Season of the Witch","$295,056"
"Morning Glory","$285,996"
"Hop","$280,961"
"The Unborn Child (Sobdek 2002)","$276,521"
"De vrais mensonges (Full Treatment)","$214,550"
"Drive Angry","$205,240"
"Something Borrowed","$185,397"
"Shelter (2010)","$180,263"
"Hanna","$170,324"
"Jane Eyre (2011)","$162,091"
"Fei Cheng Wu Rao 2 (If You Are the One 2)","$139,529"
"The Nutcracker in 3D","$125,507"
"Yogi Bear","$120,179"
"The Fighter","$109,142"
"True Grit","$105,975"
"Space Battleship Yamato","$104,073"
"You Got Served: Beat the World","$102,881"
"Fright Night (2011)","$101,166"
"Gantz","$100,342"
"Don't Be Afraid of the Dark","$98,671"
"The Way Back","$96,712"
"Sien nui yau wan (Chinese Ghost Story)","$91,928"
"Last Night","$91,879"
"Mother's Day","$82,825"
"Eiga Doraemon Shin Nobita to tetsujin heidan: Habatake tenshitachi","$80,781"
"The Eagle","$78,421"
"London Boulevard","$72,528"
"Nang Phee (The Cinderella)","$70,350"
