" Movie Title"," Gross"
"The Mummy: Tomb of the Dragon Emperor","$3,642,139"
"Quantum of Solace","$3,044,260"
"Ong bak 2","$2,923,911"
"Hancock","$2,652,118"
"The Dark Knight","$2,633,488"
"Pidterm Yai Huajai Vavun","$2,617,446"
"Iron Man","$2,457,844"
"See prang","$2,435,026"
"Luang phii theng 2 (Holy Man 2)","$2,363,683"
"The Chronicles of Narnia: Prince Caspian","$2,303,423"
"Jumper","$2,105,504"
"Indiana Jones and the Kingdom of the Crystal Skull","$2,038,867"
"Chocolate (2008)","$2,029,792"
"10,000 B.C.","$2,004,427"
"Wanted","$1,907,512"
"Puanyai Chomsalad","$1,731,611"
"Twilight","$1,705,835"
"Hellboy II: The Golden Army","$1,594,868"
"The Forbidden Kingdom","$1,574,506"
"The Day the Earth Stood Still (2008)","$1,512,183"
"Long khong 2 (Art of the Devil 3)","$1,483,738"
"Program Nar Vinyan Ar-Kat (Coming Soon)","$1,394,256"
"Wall-E","$1,339,508"
"Happy Birthday (2008)","$1,309,761"
"Rak Sam Sao (The Last Moment)","$1,298,906"
"Boon Chu I Love Sara U (Boon Chu 9)","$1,261,188"
"The Incredible Hulk","$1,177,786"
"Journey to the Center of the Earth","$1,157,727"
"Cheung Gong 7 hou (CJ7)","$1,141,774"
"Eagle Eye","$1,129,075"
"Dream Team","$1,111,907"
"Vantage Point","$1,101,636"
"Kung Fu Panda","$1,096,121"
"Bedtime Stories","$972,001"
"Mum - Deaw","$963,176"
"You Don't Mess with the Zohan","$961,361"
"Enchanted","$944,813"
"Chi bi (Red Cliff: Part I)","$944,735"
"Thewada Thajateng? (Teng's Angel)","$928,983"
"Hitman","$914,716"
"Cloverfield","$903,166"
"Long Tor Tai (The Coffin)","$890,499"
"Step Up 2 the Streets","$867,689"
"E-Tim Tai Nae (Itemi)","$832,748"
"Nung Jai Deaw Kan","$814,780"
"Speed Racer","$810,811"
"Transporter 3","$790,898"
"L: Change the World","$789,809"
"Who Maba Mahasanook","$773,672"
"Death Race","$772,895"
"Max Payne","$745,153"
"Super Hab Sab Sabad","$740,292"
"Fan Wan Ai Choob (Four Romance)","$740,261"
"Bangkok Dangerous (2008)","$738,487"
"Orahun","$714,881"
"Madagascar: Escape 2 Africa","$697,370"
"The Spiderwick Chronicles","$652,117"
