" Movie Title"," Gross"
"Eyyvah eyvah 2","$20,505,652"
"Ask Tesadüfleri Sever","$12,349,802"
"Kurtlar Vadisi Filistin (Valley of the Wolves: Palestine)","$9,749,899"
"Allah'ýn sevdiði kulun","$8,416,116"
"Pirates of the Caribbean: On Stranger Tides (3D)","$7,100,793"
"The Smurfs","$6,800,425"
"The Twilight Saga: Breaking Dawn Part 1","$6,562,772"
"Sümela'nin sifresi: Temel","$6,123,656"
"Dedemin Insanlari","$5,844,773"
"Anadolu kartallari","$5,511,335"
"Harry Potter and the Deathly Hallows (Part Two)","$4,302,719"
"Ya Sonra?","$4,260,060"
"Hür Adam","$4,084,674"
"Cars 2","$3,779,627"
"Kolpaçino: Bomba","$3,764,575"
"Transformers 3","$3,686,637"
"Fast Five","$3,452,483"
"Sherlock Holmes: A Game of Shadows","$3,378,117"
"Immortals","$3,230,346"
"Mission: Impossible - Ghost Protocol","$2,824,806"
"Behzat Ç. Seni Kalbime Gömdüm","$2,701,430"
"Kaybedenler Kulübü","$2,692,857"
"Yogi Bear","$2,531,925"
"Musallat 2: Lanet","$2,311,976"
"Entelköy efeköy'e karsi","$2,169,132"
"Final Destination 5","$2,161,208"
"Thor","$2,088,436"
"Kung Fu Panda 2","$2,004,081"
"Tron Legacy","$1,967,810"
"The Hangover Part II","$1,922,072"
"Alvin and the Chipmunks: Chipwrecked","$1,886,198"
"Rio","$1,877,441"
"Sanctum (3D)","$1,772,862"
"Season of the Witch","$1,713,310"
"The Adventures of Tintin","$1,703,414"
"Rise of the Planet of the Apes","$1,611,718"
"Çinar agaci","$1,516,262"
"Mr. Popper's Penguins","$1,470,127"
"72. Kogus","$1,280,686"
"Black Swan","$1,259,656"
"Paranormal Activity 3","$1,245,591"
"Labirent","$1,190,304"
"Source Code","$1,165,884"
"Super 8","$1,114,572"
"X-Men: First Class","$1,107,619"
"Captain America: The First Avenger","$1,081,033"
"The King's Speech","$1,070,958"
"Just Go With It","$1,070,921"
"Incir Reçeli","$1,065,843"
"Kutsal Damacana 3 Dracoola","$1,060,477"
"Scream 4","$1,003,677"
"Drive Angry","$935,591"
"The Rite","$901,725"
"Konferenz der Tiere (Animals United)","$868,711"
"One Day","$858,614"
"Love and Other Drugs","$848,981"
"Bir zamanlar Anadolu'da (Once Upon a Time in Anatolia)","$835,869"
"The Adjustment Bureau","$775,218"
"In Time","$745,672"
"Beni unutma","$745,273"
"Arthur Christmas","$742,401"
"Megamind","$736,330"
"Unknown","$730,735"
"Battle: Los Angeles","$708,564"
"The Lion King (in 3D)","$696,619"
"Rango","$681,962"
"Friends with Benefits","$678,248"
"Midnight in Paris","$677,173"
"Larry Crowne","$675,999"
"Horrible Bosses","$674,328"
"The Three Musketeers (2011)","$673,933"
"Hop","$627,678"
"Hugo","$624,551"
"Real Steel","$614,156"
"Tower Heist","$600,456"
"Crazy, Stupid, Love.","$582,107"
"Contagion","$580,203"
"Bir Avuç Deniz","$560,622"
"Killer Elite","$557,978"
"Priest","$526,299"
"No Strings Attached","$524,046"
"Alpha and Omega","$499,626"
"Water for Elephants","$495,109"
"Limitless","$477,435"
