" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Traitor","$220,205","-","20","-","$11,010","$220,205","1","USA"
"2","N","Bedtime Stories","$206,076","-","16","-","$12,880","$206,076","1","USA"
"3","1","Transporter 3","$180,451","-60.3%","19","-1","$9,497","$752,447","2","France"
"4","N","Australia","$140,776","-","26","-","$5,414","$140,776","1","Australia, USA"
"5","2"," Captain Hima","$87,822","-51.0%","17","-2","$5,166","$328,150","2","Unknown"
"6","3","Righteous Kill","$65,246","-57.2%","15","-4","$4,350","$271,724","2","USA"
"7","5","Twilight","$58,965","-23.8%","13","-2","$4,536","$1,093,318","4","USA"
"8","4","Four Christmases","$47,961","-46.7%","6","-9","$7,994","$180,655","2","Germany, USA"
"9","N"," Donkey Xote","$41,578","-","19","-","$2,188","$41,578","1","Italy, Spain"
"10","7","Madagascar: Escape 2 Africa","$41,360","-36.8%","10","-5","$4,136","$1,775,044","5","USA"
"11","6","The Day the Earth Stood Still (2008)","$34,438","-53.3%","4","-12","$8,610","$565,023","3","USA"
"12","10","Bolt","$20,189","-38.1%","3","-2","$6,730","$411,598","4","USA"
"13","N","Strange Wilderness","$10,567","-","7","-","$1,510","$10,567","1","USA"
"14","9","W.","$8,696","-76.8%","2","-10","$4,348","$58,275","2","Australia, Germany, HK, UK, USA"
"15","12","Body of Lies","$8,594","-37.0%","1","-3","$8,594","$867,323","6","USA"
"16","11"," Boushkash","$8,444","-70.9%","4","-7","$2,111","$716,784","4","Egypt"
"17","16"," Relative Strangers","$383","-69.4%","1","-","$383","$66,340","4","USA"
" TW"," LW"," Movie"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week"," Production Country",""
"1","N","Transporter 3","$454,782","-","20","-","$22,739","$454,782","1","France"
"2","N"," Captain Hima","$179,093","-","19","-","$9,426","$179,093","1","Unknown"
"3","N","Righteous Kill","$152,292","-","19","-","$8,015","$152,292","1","USA"
"4","N","Four Christmases","$89,982","-","15","-","$5,999","$89,982","1","Germany, USA"
"5","2","Twilight","$77,380","-56.2%","15","-6","$5,159","$1,000,215","3","USA"
"6","1","The Day the Earth Stood Still (2008)","$73,788","-78.5%","16","-3","$4,612","$503,715","2","USA"
"7","4","Madagascar: Escape 2 Africa","$65,437","-46.8%","15","-6","$4,362","$1,697,470","4","USA"
