" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","Avatar","Fox","$720,295","-30.1%","38","-7","$18,955","$2,620,316","2"
"2","N","Sherlock Holmes","WB","$539,868","-","33","-","$16,360","$759,966","1"
"3","N","The Princess and the Frog","Disney","$173,898","-","21","-","$8,281","$173,898","1"
"4","2"," Tyr Enta","Gulf","$74,215","-47.2%","24","+2","$3,092","$262,885","2"
"5","N","Echelon Conspiracy","Gulf","$64,242","-","16","-","$4,015","$64,242","1"
"6","5","A Christmas Carol (2009)","n/a","$38,453","-26.8%","10","+5","$3,845","$438,442","4"
"7","7","2012","Sony","$26,423","-42.9%","6","-1","$4,404","$3,610,233","7"
"8","N","New York, I Love You","Gulf","$18,737","-","8","-","$2,342","$18,737","1"
"9","6","The Twilight Saga: New Moon","Gulf","$18,559","-60.3%","13","-3","$1,428","$2,081,317","5"
"10","N","Mama's Boy","Gulf","$12,055","-","8","-","$1,507","$12,055","1"
"11","3","Ninja Assassin","WB","$9,663","-91.2%","7","-15","$1,380","$555,587","3"
"12","4","The Horsemen","Gulf","$8,840","-87.6%","13","-7","$680","$105,307","2"
"13","13","Planet 51","Gulf","$4,868","-53.2%","8","-4","$609","$363,443","5"
"14","9","Astro Boy","Gulf","$4,529","-82.0%","8","-13","$566","$83,899","3"
"15","14","Old Dogs","Disney","$3,528","-64.1%","1","-","$3,528","$418,350","5"
"16","8"," Personal Effects","Gulf","$2,386","-90.6%","5","-9","$477","$38,946","2"
"17","15"," Ip Man","Gulf","$1,029","-81.9%","2","-4","$515","$168,535","4"
"18","10"," Tenderness","Italian","$662","-96.8%","1","-6","$662","$29,053","2"
"19","12","Fame (2009)","Gulf","$656","-95.0%","1","-13","$656","$67,162","3"
"20","17","Next Day Air","Gulf","$449","-82.2%","2","-2","$225","$117,710","4"
"21","11","Cirque du Freak: The Vampire's Assistant","UIP","$339","-98.1%","2","-16","$170","$158,204","3"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Avatar","Fox","$1,030,321","-","45","-","$22,896","$1,030,321","1"
"2","N"," Tyr Enta","Gulf","$140,676","-","22","-","$6,394","$140,676","1"
"3","1","Ninja Assassin","WB","$109,487","-63.6%","22","-1","$4,977","$500,815","2"
"4","N","The Horsemen","Gulf","$71,384","-","20","-","$3,569","$71,384","1"
"5","4","A Christmas Carol (2009)","n/a","$52,537","-44.9%","5","-7","$10,507","$378,995","3"
"6","5","The Twilight Saga: New Moon","Gulf","$46,732","-50.5%","16","-7","$2,921","$2,041,351","4"
"7","3","2012","Sony","$46,297","-52.7%","7","-8","$6,614","$3,564,892","6"
"8","N"," Personal Effects","Gulf","$25,244","-","14","-","$1,803","$25,244","1"
"9","7","Astro Boy","Gulf","$25,173","-30.6%","21","+1","$1,199","$67,788","2"
"10","N"," Tenderness","Italian","$20,504","-","7","-","$2,929","$20,504","1"
"11","2","Cirque du Freak: The Vampire's Assistant","UIP","$18,135","-82.3%","18","-6","$1,008","$149,032","2"
"12","8","Fame (2009)","Gulf","$13,156","-63.6%","14","-6","$940","$59,652","2"
"13","11","Planet 51","Gulf","$10,395","-39.1%","12","-3","$866","$352,353","4"
"14","9","Old Dogs","Disney","$9,839","-66.3%","1","-7","$9,839","$412,217","4"
"15","12"," Ip Man","Gulf","$5,673","-64.1%","6","-9","$946","$164,854","3"
"16","13","The Brothers Bloom","Italian","$2,777","-76.7%","1","-7","$2,777","$18,927","2"
"17","10","Next Day Air","Gulf","$2,515","-86.8%","4","-12","$629","$116,443","3"
"18","6","Step Father (2009)","Sony","$1,821","-96.4%","1","-19","$1,821","$72,864","2"
"19","15","Amelia","Fox","$1,364","-73.9%","1","-2","$1,364","$20,969","2"
"20","17"," Bobos","Gulf","$1,100","-38.6%","1","-","$1,100","$420,297","6"
"21","18","The Invention of Lying","UIP","$637","-35.9%","1","-","$637","$161,742","5"
"22","20"," The Tournament","Gulf","$299","+54.9%","1","-","$299","$250,208","6"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","N","Ninja Assassin","WB","$300,620","-","23","-","$13,070","$391,328","1"
"2","N","Cirque du Freak: The Vampire's Assistant","UIP","$102,617","-","24","-","$4,276","$130,897","1"
"3","2","2012","Sony","$97,908","-45.6%","15","-10","$6,527","$3,488,839","5"
"4","3","A Christmas Carol (2009)","n/a","$95,315","-45.7%","12","-10","$7,943","$326,458","2"
"5","1","The Twilight Saga: New Moon","Gulf","$94,312","-59.1%","23","-7","$4,101","$1,994,618","3"
"6","N","Step Father (2009)","Sony","$50,077","-","20","-","$2,504","$50,077","1"
"7","N","Astro Boy","Gulf","$36,274","-","20","-","$1,814","$42,616","1"
"8","N","Fame (2009)","Gulf","$36,145","-","20","-","$1,807","$46,496","1"
"9","7","Old Dogs","Disney","$29,212","-54.5%","8","-4","$3,652","$402,378","3"
"10","6","Next Day Air","Gulf","$19,088","-71.0%","16","+6","$1,193","$113,927","2"
"11","8","Planet 51","Gulf","$17,074","-60.8%","15","-8","$1,138","$341,957","3"
"12","4"," Ip Man","Gulf","$15,817","-84.2%","15","-5","$1,054","$159,181","2"
"13","N","The Brothers Bloom","Italian","$11,940","-","8","-","$1,493","$16,151","1"
"14","5","Zombieland","Sony","$6,196","-93.1%","5","-18","$1,239","$126,484","2"
"15","N","Amelia","Fox","$5,220","-","3","-","$1,740","$19,605","1"
"16","17"," Toy Story in 3D","Disney","$1,976","+19.4%","1","-","$1,976","$135,693","7"
"17","9"," Bobos","Gulf","$1,791","-88.9%","1","-14","$1,791","$419,197","5"
"18","10","The Invention of Lying","UIP","$994","-86.7%","1","-1","$994","$161,105","4"
"19","18","Harry Potter and the Half Blood Prince","WB","$662","-37.0%","1","-","$662","$1,509,199","22"
"20","16"," The Tournament","Gulf","$193","-89.7%","1","-","$193","$249,908","5"
" TW"," LW"," Movie"," Studio"," Weekend Gross"," Change"," Screens"," Change / Avg."," Gross-to-Date"," Week",""
"1","1","The Twilight Saga: New Moon","Gulf","$230,629","-80.7%","30","-8","$7,688","$1,793,283","2"
"2","2","2012","Sony","$179,844","-64.3%","25","-5","$7,194","$3,338,188","4"
"3","N","A Christmas Carol (2009)","n/a","$175,667","-","22","-","$7,985","$175,667","1"
