" Movie Title"," Gross"
"Mamma Mia!","$132,342,643"
"The Dark Knight","$89,066,002"
"Quantum of Solace","$80,805,643"
"Indiana Jones and the Kingdom of the Crystal Skull","$79,283,312"
"Sex and the City","$52,276,151"
"Hancock","$49,170,891"
"Wall-E","$41,215,600"
"Kung Fu Panda","$39,405,501"
"Madagascar: Escape 2 Africa","$35,471,617"
"High School Musical 3: Senior Year","$33,900,140"
"Iron Man","$33,822,889"
"Sweeney Todd: The Demon Barber of Fleet Street","$21,747,800"
"The Mummy: Tomb of the Dragon Emperor","$21,667,251"
"The Chronicles of Narnia: Prince Caspian","$21,581,030"
"Step Up 2 the Streets","$20,955,124"
"The Spiderwick Chronicles","$20,902,301"
"Wanted","$19,344,027"
"Juno","$19,223,726"
"Cloverfield","$18,663,002"
"National Treasure: Book of Secrets","$17,626,166"
"Dr. Seuss' Horton Hears a Who!","$17,255,430"
"Jumper","$17,042,267"
"Twilight","$16,305,715"
"The Incredible Hulk","$16,227,041"
"Four Christmases","$15,868,934"
"What Happens in Vegas","$15,639,149"
"Tropic Thunder","$15,478,805"
"Forgetting Sarah Marshall","$15,123,663"
"Yes Man","$15,009,401"
"Hellboy II: The Golden Army","$13,962,118"
"No Country for Old Men","$13,719,432"
"27 Dresses","$13,458,037"
"Bedtime Stories","$12,886,242"
"Burn After Reading","$12,712,811"
"Step Brothers","$12,553,039"
"The Duchess","$11,869,300"
"Vantage Point","$11,610,153"
"Australia","$11,410,879"
"10,000 B.C.","$11,349,484"
"Taken","$11,275,928"
"The Day the Earth Stood Still (2008)","$10,901,777"
"21","$10,886,989"
"Angus, Thongs and Perfect Snogging","$10,627,381"
"You Don't Mess with the Zohan","$10,481,344"
"Saw V","$10,436,769"
"Ghost Town","$10,292,743"
"The Other Boleyn Girl","$9,709,885"
"In Bruges","$9,659,983"
"Wild Child","$9,524,380"
"The Water Horse: Legend of the Deep","$9,451,837"
"Alien vs. Predator - Requiem","$9,254,195"
"There Will Be Blood","$9,189,480"
"Charlie Wilson's War","$9,096,666"
"Get Smart","$9,015,891"
"RockNRolla","$8,915,788"
"The Game Plan","$8,477,553"
"Son of Rambow","$8,272,930"
"The Bank Job","$8,068,923"
"The Happening","$7,985,542"
"The Strangers","$7,804,867"
"Nim's Island","$7,784,514"
"Be Kind, Rewind","$7,650,502"
"Changeling","$7,565,982"
"Journey to the Center of the Earth","$7,400,943"
"Space Chimps","$7,286,700"
"The Boy in the Striped Pajamas","$7,162,900"
"How to Lose Friends and Alienate People","$7,055,425"
"Pineapple Express","$6,979,618"
"Over Her Dead Body","$6,807,801"
"Igor","$6,731,993"
"The Women (2008)","$6,725,801"
"Adulthood","$6,611,001"
"Penelope","$6,496,687"
