" Movie Title"," Gross"
"Ironiya sudby. Prodolzhenie (The Irony of Fate 2)","$4,093,580"
"Pirates of the Caribbean: At World's End","$3,193,670"
"Shrek the Third","$2,190,826"
"Transformers","$2,076,813"
"Harry Potter and the Order of the Phoenix","$2,058,044"
"National Treasure: Book of Secrets","$1,803,667"
"300","$1,634,440"
"Taxi 4","$1,505,365"
"Spider-Man 3","$1,439,035"
"The Heartbreak Kid","$1,227,819"
"Ratatouille","$1,142,583"
"Resident Evil: Extinction","$1,076,761"
"Live Free or Die Hard","$1,058,412"
"Stardust","$1,013,277"
"Bee Movie","$998,081"
"Ghost Rider","$990,847"
"Boy s tenyu 2 (Shadow Boxing 2)","$966,357"
"The Golden Compass","$944,886"
"Lubov morkov (Lovey-Dovey)","$902,707"
"Ocean's Thirteen","$872,197"
"Mr. Bean's Holiday","$824,463"
"Ilya Muromets i solovey razboynik","$750,972"
"Beowulf","$725,716"
"Knocked Up","$672,698"
"Elizabeth: The Golden Age","$632,288"
"The Bourne Ultimatum","$624,071"
"The Simpsons Movie","$607,329"
"Next","$589,521"
"Enchanted","$587,984"
"I Now Pronounce You Chuck and Larry","$570,923"
"Good Luck Chuck","$552,520"
"Mongol","$549,218"
"Wild Hogs","$537,305"
"Perfect Stranger","$537,125"
"Rush Hour 3","$523,980"
"Glyanets (Gloss)","$514,562"
"Hitman","$498,413"
"Superbad","$496,904"
"Hannibal Rising","$483,990"
"Pathfinder: Legend of the Ghost Warrior","$482,354"
"Surf's Up","$464,389"
"Deja Vu","$459,214"
"Evan Almighty","$449,864"
"Paragraf 78, Part I","$414,887"
"The Last Legion","$378,755"
"Fantastic Four: Rise of the Silver Surfer","$371,985"
"Kod apokalipsisa (Apocalypse Code)","$366,649"
"In the Name of the King: A Dungeon Siege Tale","$358,495"
"1612","$349,911"
"American Gangster","$345,712"
"1408","$337,801"
"D-War (Dragon Wars)","$311,136"
"12","$296,110"
"Charlotte's Web","$291,762"
"Paragraf 78, Part II","$291,494"
"Alpha Dog","$291,215"
"Pledge This!","$289,259"
"Wedding Daze","$277,659"
"The Good Shepherd","$273,407"
"Sluga Gosudarev (The Sovereign's Servant)","$268,029"
"Babel","$239,860"
"Alvin and the Chipmunks","$236,414"
"Hors de prix (Priceless)","$234,761"
"Flood (2007)","$234,473"
"No Reservations","$227,419"
"Sex and Death 101","$205,804"
"The Mist","$192,541"
"Shortcut to Happiness (a.k.a. The Devil and Daniel Webster)","$192,524"
"Smokin' Aces","$192,291"
"The Seeker: The Dark Is Rising","$189,204"
"Awaiting the Miracle","$189,062"
"Step Up","$183,520"
"Blood Diamond","$180,357"
"Shooter","$178,826"
"Antidur (Antidope)","$177,768"
"Disturbia","$173,813"
"The Invasion","$172,239"
"Night of the Living Dead 3D","$165,622"
"Hostel Part II","$159,897"
"20 sigaret (20 Cigarettes)","$159,261"
"BRATZ","$157,269"
"The Nanny Diaries","$157,154"
"Saw IV","$153,544"
"Epic Movie","$150,044"
"Rocky Balboa","$142,104"
"Prête-moi ta main (I Do)","$140,998"
"Myortvye docheri (Dead Daughters)","$137,784"
"Penelope","$137,098"
"The Painted Veil","$136,879"
"TMNT","$136,178"
"30 Days of Night","$133,455"
"Il ne faut jurer... de rien!","$131,715"
"Paris, je t'aime","$131,480"
"Grindhouse: Death Proof","$124,213"
"Arthur et les Minimoys (Arthur and the Invisibles)","$119,234"
"Bridge to Terabithia","$119,021"
"Nulevoy kilometr","$116,676"
"Love and Other Disasters","$116,392"
"Meet the Robinsons","$115,091"
"The Kingdom","$113,716"
"Shoot 'Em Up","$112,918"
"The Ex","$109,843"
"Music and Lyrics","$105,485"
"Sunshine","$105,483"
"Vacancy","$103,730"
"Halloween (2007)","$102,105"
"Grindhouse: Planet Terror","$96,750"
"28 Weeks Later","$96,499"
"Bug","$96,400"
"Lions for Lambs","$92,929"
"The Pursuit of Happyness","$91,048"
"Derzkie Dni","$90,322"
"The Power of Fear","$90,008"
"Konservy","$87,725"
"Angel (2007)","$87,409"
"It's a Boy Girl Thing","$86,267"
"Hot Fuzz","$84,411"
"White Noise 2: The Light","$84,297"
"Eastern Promises","$83,766"
"Nochniye syostri (Night Nurses)","$80,423"
"Tiski","$79,585"
"Balls of Fury","$76,216"
"The Invisible","$74,301"
"Troe i snezhinka (The Three and a Snowflake)","$67,557"
"Butterfly on a Wheel","$66,026"
"The Hills Have Eyes 2","$65,954"
"Blood and Chocolate","$64,961"
"The Reaping","$63,832"
"The Brave One","$63,347"
"Nevalyashka (Tumbler)","$62,841"
"Rud i Sem","$59,857"
"Orangelove","$59,824"
"In the Land of Women","$59,473"
"I Know Who Killed Me","$59,102"
"Primeval","$56,086"
"Shark Bait (a.k.a. The Reef)","$53,515"
"Premonition","$53,181"
"Tirante el Blanco","$49,586"
"Skinwalkers","$47,437"
"L'Île aux Trésors","$46,459"
"The Queen","$46,244"
"Code Name: The Cleaner","$45,080"
"Georgia Rule","$41,964"
"Fracture","$41,925"
"Stranger Than Fiction","$40,850"
"L'Auberge rouge","$40,629"
"Happily N'Ever After","$40,000"
"Putevoy obkhodchik (Trackman)","$37,699"
"Alatriste","$36,269"
"Hairspray (2007)","$34,133"
"Goya's Ghosts","$33,710"
"Rise: Blood Hunter","$33,313"
"Le Concile de Pierre","$28,425"
"Captivity","$25,160"
"The Fountain","$25,018"
"Actress","$24,874"
"The Equator","$24,539"
"L'Emploi du temps (Time Out)","$24,221"
"Ya ostayus (Time Out)","$24,221"
"National Lampoon's Van Wilder: The Rise of Taj","$23,669"
"3:10 to Yuma (2007)","$23,607"
"Zodiac","$23,014"
"The Hitcher (2007)","$22,996"
"Les Bronzés 3 - amis pour la vie","$21,405"
"Rusalka (The Mermaid)","$18,574"
"Turistas","$17,723"
"Zhizn vrasploh (Life Unawared)","$17,497"
"Catacombs","$13,491"
"Tempesta","$12,506"
"Dva v odnom (Two in One)","$11,126"
"The Messengers","$11,080"
"Zavet (Promise Me This)","$10,758"
"Odna lyubov na million (One Love for a Million)","$10,448"
"Russkaya igra (The Gamblers)","$9,287"
"Inland Empire","$8,405"
"Direktøren for det hele (Boss of It All)","$6,695"
"Gagarin's Grandson","$5,624"
"Nas ne dogonish (You Will Not Overtake Us)","$5,520"
"Si jie (Lust, Caution)","$3,491"
"Miss Potter","$3,472"
