" Movie Title"," Gross"
"Avatar","$1,195,413"
"Ice Age: Dawn of the Dinosaurs","$1,001,818"
"El secreto de sus ojos","$394,193"
"2012","$358,329"
"Angels & Demons","$314,045"
"Harry Potter and the Half Blood Prince","$294,755"
"Slumdog Millionaire","$285,996"
"Up","$232,910"
"Monsters Vs. Aliens","$218,719"
"The Hangover","$212,319"
"Cloudy with a Chance of Meatballs","$211,779"
"Vicky Cristina Barcelona","$210,453"
"The Curious Case of Benjamin Button","$185,937"
"The Twilight Saga: New Moon","$173,313"
"Night at the Museum: Battle of the Smithsonian","$160,290"
"The Proposal","$156,223"
"Bolt","$150,701"
"The Ugly Truth","$142,757"
"Yes Man","$139,346"
"G-Force","$138,012"
"Gran Torino","$133,412"
"Changeling","$122,030"
"Bedtime Stories","$121,022"
"Twilight","$106,674"
"My Bloody Valentine 3-D","$100,897"
"Mal día para pescar (Bad Day to Go Fishing)","$100,853"
"Stranded: I Have Come from a Plane That Crashed on the Mountains","$99,970"
"The Pink Panther 2","$99,408"
"Papá por un día","$95,964"
"The Reader","$93,723"
"Stranded (2009)","$90,973"
"Michael Jackson's This Is It","$90,951"
"A Christmas Carol (2009)","$89,735"
"Knowing","$89,102"
"Terminator Salvation: The Future Begins","$87,991"
"Marley and Me","$87,004"
"Valkyrie","$86,068"
"Paul Blart: Mall Cop","$81,975"
"Inglourious Basterds","$78,318"
"The Taking of Pelham One, Two, Three","$75,354"
"He's Just Not That Into You","$75,006"
"Last Chance Harvey","$74,598"
"X-Men Origins: Wolverine","$73,958"
"The Final Destination","$73,427"
"Seven Pounds","$72,117"
"Australia","$71,011"
"The Day the Earth Stood Still (2008)","$70,399"
"Bride Wars","$59,343"
"Hotel for Dogs","$59,054"
"Música en espera","$57,627"
"Hannah Montana The Movie","$57,523"
"Righteous Kill","$57,520"
"The International","$56,028"
"Fast and Furious","$54,936"
"Transformers: Revenge of the Fallen","$52,535"
"Gigante","$51,325"
"Flawless (2007)","$51,122"
"Doubt","$47,557"
"Nights in Rodanthe","$47,439"
"My Life in Ruins","$46,051"
"Milk","$45,336"
"Orphan","$44,656"
"U2 3D","$43,539"
"Revolutionary Road","$43,446"
"Public Enemies","$42,830"
"The Bank Job","$42,105"
"Aliens in the Attic","$41,171"
"Coco avant Chanel","$40,970"
"Surrogates","$40,938"
"Julie & Julia","$39,493"
"17 Again","$39,465"
